,Avg_expr,is_DE_limma,is_DA_dorothea,is_DA_chromVar,is_DE_and_DA,cluster,ID
GRHL2,0.33885,yes,no,no,no,EVT_1,EVT_1_GRHL2
ZNF254,0.234804,yes,no,no,no,EVT_1,EVT_1_ZNF254
ZNF432,0.182749,yes,no,no,no,EVT_1,EVT_1_ZNF432
SP110,0.216516,yes,no,no,no,EVT_1,EVT_1_SP110
ZNF81,0.059137,yes,no,no,no,EVT_1,EVT_1_ZNF81
MLX,0.196988,yes,no,no,no,EVT_1,EVT_1_MLX
ZNF439,0.197996,yes,no,no,no,EVT_1,EVT_1_ZNF439
GTF3A,0.523632,yes,yes,no,yes,EVT_1,EVT_1_GTF3A
HOXC6,0.01267,yes,no,no,no,EVT_1,EVT_1_HOXC6
ZNF569,0.046436,yes,no,no,no,EVT_1,EVT_1_ZNF569
SMARCA5,0.303824,no,yes,no,no,EVT_1,EVT_1_SMARCA5
ID1,1.122655,yes,no,no,no,EVT_1,EVT_1_ID1
ZNF682,0.07718,yes,no,no,no,EVT_1,EVT_1_ZNF682
FOSL2,0.649686,yes,no,yes,yes,EVT_1,EVT_1_FOSL2
ASCL2,1.090333,yes,no,no,no,EVT_1,EVT_1_ASCL2
ZNF708,0.097929,yes,no,no,no,EVT_1,EVT_1_ZNF708
GATA6,0.070709,yes,no,yes,yes,EVT_1,EVT_1_GATA6
ARNTL2,0.042484,no,yes,no,no,EVT_1,EVT_1_ARNTL2
ZNF836,0.038978,yes,no,no,no,EVT_1,EVT_1_ZNF836
POU6F2,0.069298,yes,no,no,no,EVT_1,EVT_1_POU6F2
ZNF785,0.028686,yes,no,no,no,EVT_1,EVT_1_ZNF785
TWIST2,0.016136,yes,no,no,no,EVT_1,EVT_1_TWIST2
ETV2,0.013767,yes,no,no,no,EVT_1,EVT_1_ETV2
FIZ1,0.015816,no,yes,no,no,EVT_1,EVT_1_FIZ1
DMRTB1,0.0,no,yes,no,no,EVT_1,EVT_1_DMRTB1
ZNF273,0.083422,yes,no,no,no,EVT_1,EVT_1_ZNF273
STAT3,0.283337,yes,no,no,no,EVT_1,EVT_1_STAT3
ZNF208,0.084963,yes,no,no,no,EVT_1,EVT_1_ZNF208
MEIS2,0.112304,yes,no,no,no,EVT_1,EVT_1_MEIS2
CREB3L2,0.683451,yes,no,no,no,EVT_1,EVT_1_CREB3L2
LHX2,0.053763,yes,no,no,no,EVT_1,EVT_1_LHX2
ZNF736,0.120505,yes,no,no,no,EVT_1,EVT_1_ZNF736
ARID5A,0.036754,no,yes,no,no,EVT_1,EVT_1_ARID5A
L3MBTL1,0.127668,yes,no,no,no,EVT_1,EVT_1_L3MBTL1
REL,0.294641,yes,no,no,no,EVT_1,EVT_1_REL
GATA3,1.769772,yes,no,yes,yes,EVT_1,EVT_1_GATA3
PAX8,0.073371,yes,no,no,no,EVT_1,EVT_1_PAX8
ALX1,0.010283,yes,no,no,no,EVT_1,EVT_1_ALX1
ZNF699,0.014645,yes,no,no,no,EVT_1,EVT_1_ZNF699
SOX4,1.125674,yes,no,no,no,EVT_1,EVT_1_SOX4
MXD1,0.042843,no,yes,no,no,EVT_1,EVT_1_MXD1
ZNF578,0.047371,yes,no,no,no,EVT_1,EVT_1_ZNF578
MYOD1,0.002822,yes,no,no,no,EVT_1,EVT_1_MYOD1
ERF,0.013658,no,yes,no,no,EVT_1,EVT_1_ERF
ZNF277,0.165967,yes,yes,no,yes,EVT_1,EVT_1_ZNF277
ETV4,0.102478,yes,no,no,no,EVT_1,EVT_1_ETV4
ZNF487,0.041968,yes,yes,no,yes,EVT_1,EVT_1_ZNF487
PRDM5,0.101558,yes,no,no,no,EVT_1,EVT_1_PRDM5
ZSCAN20,0.012114,yes,no,no,no,EVT_1,EVT_1_ZSCAN20
HIVEP3,0.110968,yes,no,no,no,EVT_1,EVT_1_HIVEP3
PPARG,1.256679,yes,no,no,no,EVT_1,EVT_1_PPARG
GZF1,0.017748,no,yes,no,no,EVT_1,EVT_1_GZF1
NR3C2,0.075049,yes,no,no,no,EVT_1,EVT_1_NR3C2
RARA,0.028058,yes,no,no,no,EVT_1,EVT_1_RARA
HOXB2,0.090481,yes,no,no,no,EVT_1,EVT_1_HOXB2
FOXP1,0.270798,no,yes,no,no,EVT_1,EVT_1_FOXP1
NR6A1,0.781251,yes,no,no,no,EVT_1,EVT_1_NR6A1
THAP11,0.067477,no,yes,no,no,EVT_1,EVT_1_THAP11
LRRFIP1,1.182977,yes,no,no,no,EVT_1,EVT_1_LRRFIP1
STAT2,0.300761,yes,yes,no,yes,EVT_1,EVT_1_STAT2
ZNF606,0.014303,no,yes,no,no,EVT_1,EVT_1_ZNF606
KAT6A,0.392434,yes,no,no,no,EVT_1,EVT_1_KAT6A
HOXB7,0.092323,yes,no,no,no,EVT_1,EVT_1_HOXB7
ELF4,0.282727,yes,yes,no,yes,EVT_1,EVT_1_ELF4
ZNF484,0.021994,yes,no,no,no,EVT_1,EVT_1_ZNF484
ZNF765,0.17211,yes,no,no,no,EVT_1,EVT_1_ZNF765
CEBPB,0.859611,yes,no,no,no,EVT_1,EVT_1_CEBPB
ZNF746,0.050966,no,yes,no,no,EVT_1,EVT_1_ZNF746
ZNF846,0.057253,yes,no,no,no,EVT_1,EVT_1_ZNF846
HEY1,0.290802,yes,no,no,no,EVT_1,EVT_1_HEY1
RARB,0.007677,yes,no,no,no,EVT_1,EVT_1_RARB
NFKBIE,0.022754,no,yes,no,no,EVT_1,EVT_1_NFKBIE
SHOX2,0.004187,yes,no,no,no,EVT_1,EVT_1_SHOX2
ZNF573,0.05127,yes,no,no,no,EVT_1,EVT_1_ZNF573
ZNF860,0.036562,yes,no,no,no,EVT_1,EVT_1_ZNF860
NCOA1,0.533182,yes,no,no,no,EVT_1,EVT_1_NCOA1
SMAD3,0.12563,yes,no,no,no,EVT_1,EVT_1_SMAD3
MTA1,0.049578,no,yes,no,no,EVT_1,EVT_1_MTA1
FEV,not_enough_cells_expr_limma,no,yes,no,no,EVT_1,EVT_1_FEV
ZNF880,0.075531,yes,no,no,no,EVT_1,EVT_1_ZNF880
ZSCAN2,0.029436,yes,no,no,no,EVT_1,EVT_1_ZSCAN2
ZNF658,0.026318,no,yes,no,no,EVT_1,EVT_1_ZNF658
ZNF793,0.049168,yes,no,no,no,EVT_1,EVT_1_ZNF793
KDM5B,0.292216,yes,no,no,no,EVT_1,EVT_1_KDM5B
ZNF263,0.048639,no,yes,no,no,EVT_1,EVT_1_ZNF263
SP140L,0.149859,yes,no,no,no,EVT_1,EVT_1_SP140L
DLX3,0.264618,yes,no,no,no,EVT_1,EVT_1_DLX3
DMRT1,0.001362,no,yes,no,no,EVT_1,EVT_1_DMRT1
OTX2,0.000599,yes,no,no,no,EVT_1,EVT_1_OTX2
ZNF224,0.057083,no,yes,no,no,EVT_1,EVT_1_ZNF224
ZNF383,0.043372,no,yes,no,no,EVT_1,EVT_1_ZNF383
KLF8,0.132129,yes,no,no,no,EVT_1,EVT_1_KLF8
TFCP2L1,0.008302,no,yes,no,no,EVT_1,EVT_1_TFCP2L1
ZBTB20,0.129976,yes,no,no,no,EVT_1,EVT_1_ZBTB20
ZNF436,0.007461,no,yes,no,no,EVT_1,EVT_1_ZNF436
RFX8,0.004087,no,yes,no,no,EVT_1,EVT_1_RFX8
RCOR3,0.170913,no,yes,no,no,EVT_1,EVT_1_RCOR3
ZNF438,0.131544,yes,no,no,no,EVT_1,EVT_1_ZNF438
NFATC1,0.04101,yes,no,no,no,EVT_1,EVT_1_NFATC1
ST18,0.005936,yes,no,no,no,EVT_1,EVT_1_ST18
BATF2,0.004477,yes,yes,no,yes,EVT_1,EVT_1_BATF2
ZNF431,0.177688,no,yes,no,no,EVT_1,EVT_1_ZNF431
SMARCE1,0.092984,no,yes,no,no,EVT_1,EVT_1_SMARCE1
TSC22D1,1.026929,no,yes,no,no,EVT_1,EVT_1_TSC22D1
TBX19,0.014146,yes,no,no,no,EVT_1,EVT_1_TBX19
SREBF1,0.091378,yes,no,no,no,EVT_1,EVT_1_SREBF1
PRRX2,0.002926,no,yes,no,no,EVT_1,EVT_1_PRRX2
ZNF202,0.01201,no,yes,no,no,EVT_1,EVT_1_ZNF202
HES2,0.016492,no,yes,no,no,EVT_1,EVT_1_HES2
STAT1,0.339504,yes,no,no,no,EVT_1,EVT_1_STAT1
SMARCC1,0.700722,yes,no,no,no,EVT_1,EVT_1_SMARCC1
ZNF649,0.04506,no,yes,no,no,EVT_1,EVT_1_ZNF649
PBX4,0.039632,yes,no,no,no,EVT_1,EVT_1_PBX4
ATF6,0.303584,yes,yes,no,yes,EVT_1,EVT_1_ATF6
RCOR2,0.024194,yes,no,no,no,EVT_1,EVT_1_RCOR2
NCOR2,0.337865,yes,no,no,no,EVT_1,EVT_1_NCOR2
NR1H4,0.002576,yes,no,no,no,EVT_1,EVT_1_NR1H4
HOXC9,0.052365,yes,no,no,no,EVT_1,EVT_1_HOXC9
CREB3L4,0.077348,yes,no,no,no,EVT_1,EVT_1_CREB3L4
ZNF169,0.03419,yes,no,no,no,EVT_1,EVT_1_ZNF169
ATF1,0.394032,yes,no,no,no,EVT_1,EVT_1_ATF1
DLX5,0.638618,yes,no,no,no,EVT_1,EVT_1_DLX5
ZNF41,0.02411,yes,no,no,no,EVT_1,EVT_1_ZNF41
ZNF614,0.049044,yes,no,no,no,EVT_1,EVT_1_ZNF614
XBP1,0.90037,yes,no,no,no,EVT_1,EVT_1_XBP1
GRHL1,0.549887,yes,no,no,no,EVT_1,EVT_1_GRHL1
ATOH8,0.007824,yes,no,no,no,EVT_1,EVT_1_ATOH8
SP100,0.413207,yes,yes,no,yes,EVT_1,EVT_1_SP100
DLX4,0.285579,yes,no,no,no,EVT_1,EVT_1_DLX4
FOXP4,0.018957,no,yes,no,no,EVT_1,EVT_1_FOXP4
ZNF354A,0.091397,yes,no,no,no,EVT_1,EVT_1_ZNF354A
ZC3H8,0.105838,no,yes,no,no,EVT_1,EVT_1_ZC3H8
ZNF490,0.038579,yes,no,no,no,EVT_1,EVT_1_ZNF490
ZNF124,0.147049,yes,no,no,no,EVT_1,EVT_1_ZNF124
ZNF396,0.003175,no,yes,no,no,EVT_1,EVT_1_ZNF396
MAX,0.264617,yes,no,no,no,EVT_1,EVT_1_MAX
ZFP64,0.092292,yes,no,no,no,EVT_1,EVT_1_ZFP64
HLX,0.003452,no,yes,no,no,EVT_1,EVT_1_HLX
MBD1,0.119137,no,yes,no,no,EVT_1,EVT_1_MBD1
ZNF354C,0.022911,no,yes,no,no,EVT_1,EVT_1_ZNF354C
MXD3,0.025616,no,yes,no,no,EVT_1,EVT_1_MXD3
IRF9,0.078717,yes,no,no,no,EVT_1,EVT_1_IRF9
SNAI1,0.314832,yes,no,no,no,EVT_1,EVT_1_SNAI1
TEAD3,0.414928,yes,no,no,no,EVT_1,EVT_1_TEAD3
NFYB,0.363032,yes,no,no,no,EVT_1,EVT_1_NFYB
GATAD2B,0.21475,no,yes,no,no,EVT_1,EVT_1_GATAD2B
ZNF174,0.014891,no,yes,no,no,EVT_1,EVT_1_ZNF174
TBX1,0.030754,yes,no,no,no,EVT_1,EVT_1_TBX1
TBX3,0.051109,no,yes,no,no,EVT_1,EVT_1_TBX3
HOXB6,0.012891,yes,no,no,no,EVT_1,EVT_1_HOXB6
ZNF69,0.123962,yes,no,no,no,EVT_1,EVT_1_ZNF69
HOXA4,0.003472,yes,no,no,no,EVT_1,EVT_1_HOXA4
TBPL1,0.325918,yes,yes,no,yes,EVT_1,EVT_1_TBPL1
ZNF570,0.052417,yes,no,no,no,EVT_1,EVT_1_ZNF570
HIC2,0.266976,no,yes,no,no,EVT_1,EVT_1_HIC2
FOXN3,0.400632,no,yes,no,no,EVT_1,EVT_1_FOXN3
RFX3,0.180056,yes,yes,no,yes,EVT_1,EVT_1_RFX3
SOHLH1,0.008269,yes,no,no,no,EVT_1,EVT_1_SOHLH1
ZHX3,0.114616,yes,yes,no,yes,EVT_1,EVT_1_ZHX3
ARID4A,0.17092,yes,no,no,no,EVT_1,EVT_1_ARID4A
ZNF22,0.212014,no,yes,no,no,EVT_1,EVT_1_ZNF22
TET1,0.389797,yes,no,no,no,EVT_1,EVT_1_TET1
PHTF1,0.067528,no,yes,no,no,EVT_1,EVT_1_PHTF1
YBX3,0.201185,no,yes,no,no,EVT_1,EVT_1_YBX3
ZNF575,0.008087,yes,no,no,no,EVT_1,EVT_1_ZNF575
KLF13,0.202324,yes,yes,no,yes,EVT_1,EVT_1_KLF13
GATAD2A,0.397392,no,yes,no,no,EVT_1,EVT_1_GATAD2A
HIF1A,0.400477,yes,no,no,no,EVT_1,EVT_1_HIF1A
ZHX1,0.027806,no,yes,no,no,EVT_1,EVT_1_ZHX1
HMG20B,0.722814,yes,no,no,no,EVT_1,EVT_1_HMG20B
ELK3,0.117519,yes,no,no,no,EVT_1,EVT_1_ELK3
FOXF2,0.005995,yes,no,no,no,EVT_1,EVT_1_FOXF2
ZFP42,0.218353,yes,no,no,no,EVT_1,EVT_1_ZFP42
ZNF304,0.004495,no,yes,no,no,EVT_1,EVT_1_ZNF304
TEAD2,0.112048,yes,no,no,no,EVT_1,EVT_1_TEAD2
HDX,0.001176,no,yes,no,no,EVT_1,EVT_1_HDX
EPAS1,1.313567,yes,no,no,no,EVT_1,EVT_1_EPAS1
RUNX2,0.031039,yes,no,no,no,EVT_1,EVT_1_RUNX2
HOXA1,0.003757,yes,no,no,no,EVT_1,EVT_1_HOXA1
PATZ1,0.009072,no,yes,no,no,EVT_1,EVT_1_PATZ1
FOXO1,0.21879,yes,no,no,no,EVT_1,EVT_1_FOXO1
TGIF1,0.721475,yes,no,no,no,EVT_1,EVT_1_TGIF1
SIX5,0.066529,yes,no,no,no,EVT_1,EVT_1_SIX5
ZNF512,0.04636,yes,no,no,no,EVT_1,EVT_1_ZNF512
ZNF749,0.008464,yes,no,no,no,EVT_1,EVT_1_ZNF749
CUX1,0.982738,yes,no,no,no,EVT_1,EVT_1_CUX1
ZBED6,0.001215,no,yes,no,no,EVT_1,EVT_1_ZBED6
ARID3A,1.408253,yes,no,no,no,EVT_1,EVT_1_ARID3A
ZNF653,0.004397,no,yes,no,no,EVT_1,EVT_1_ZNF653
IKZF4,0.01891,no,yes,no,no,EVT_1,EVT_1_IKZF4
HOXA6,not_enough_cells_expr_limma,no,yes,no,no,EVT_1,EVT_1_HOXA6
TOX2,0.002371,no,yes,no,no,EVT_1,EVT_1_TOX2
SMAD7,0.017226,no,yes,no,no,EVT_1,EVT_1_SMAD7
ZBTB2,0.094318,yes,no,no,no,EVT_1,EVT_1_ZBTB2
ZBTB7B,0.067584,no,yes,no,no,EVT_1,EVT_1_ZBTB7B
ZNF668,0.049946,yes,no,no,no,EVT_1,EVT_1_ZNF668
PRDM16,0.044835,yes,no,no,no,EVT_1,EVT_1_PRDM16
RERE,0.624913,no,yes,no,no,EVT_1,EVT_1_RERE
FOS,2.393012,yes,no,no,no,EVT_1,EVT_1_FOS
TSC22D3,0.432815,yes,no,no,no,EVT_1,EVT_1_TSC22D3
MYCN,0.534124,yes,no,no,no,EVT_1,EVT_1_MYCN
SP140,0.006026,no,yes,no,no,EVT_1,EVT_1_SP140
PAX6,0.003242,no,yes,no,no,EVT_1,EVT_1_PAX6
HOXB8,0.002532,yes,no,no,no,EVT_1,EVT_1_HOXB8
ZNF462,0.142776,yes,no,no,no,EVT_1,EVT_1_ZNF462
KLF10,0.301595,yes,no,no,no,EVT_1,EVT_1_KLF10
ZNF616,0.028163,yes,no,no,no,EVT_1,EVT_1_ZNF616
IRF3,0.403224,yes,no,no,no,EVT_1,EVT_1_IRF3
ZNF780A,0.050317,yes,no,no,no,EVT_1,EVT_1_ZNF780A
PSPC1,0.772697,yes,no,no,no,EVT_1,EVT_1_PSPC1
RFX2,0.138207,yes,no,no,no,EVT_1,EVT_1_RFX2
DLX6,0.22531,yes,no,no,no,EVT_1,EVT_1_DLX6
ARX,0.012648,yes,no,no,no,EVT_1,EVT_1_ARX
ZNF32,0.071519,no,yes,no,no,EVT_1,EVT_1_ZNF32
ARNT,0.351561,yes,no,no,no,EVT_1,EVT_1_ARNT
USF1,0.048105,yes,no,no,no,EVT_1,EVT_1_USF1
ZNF480,0.105082,yes,no,no,no,EVT_1,EVT_1_ZNF480
DNAJC1,0.567249,yes,yes,no,yes,EVT_1,EVT_1_DNAJC1
LHX1,0.002745,yes,no,no,no,EVT_1,EVT_1_LHX1
IRF7,0.146301,yes,no,no,no,EVT_1,EVT_1_IRF7
ZNF680,0.112559,yes,no,no,no,EVT_1,EVT_1_ZNF680
OSR2,0.447515,yes,no,no,no,EVT_1,EVT_1_OSR2
ZNF684,0.018746,yes,no,no,no,EVT_1,EVT_1_ZNF684
ZGPAT,0.001257,no,yes,no,no,EVT_1,EVT_1_ZGPAT
ZBTB4,0.012624,no,yes,no,no,EVT_1,EVT_1_ZBTB4
ZNF397,0.094729,no,yes,no,no,EVT_1,EVT_1_ZNF397
ZBTB7A,0.074238,no,yes,no,no,EVT_1,EVT_1_ZBTB7A
ZNF790,0.059114,yes,no,no,no,EVT_1,EVT_1_ZNF790
ZNF528,0.045446,yes,no,no,no,EVT_1,EVT_1_ZNF528
TCF12,0.603587,yes,no,no,no,EVT_1,EVT_1_TCF12
ZNF407,0.269589,yes,no,no,no,EVT_1,EVT_1_ZNF407
TCF7L2,1.647389,yes,no,no,no,EVT_1,EVT_1_TCF7L2
SOX8,0.001942,yes,no,no,no,EVT_1,EVT_1_SOX8
FOXN2,0.391971,yes,yes,no,yes,EVT_1,EVT_1_FOXN2
ZNF571,0.033076,yes,no,no,no,EVT_1,EVT_1_ZNF571
ZNF93,0.149169,no,yes,no,no,EVT_1,EVT_1_ZNF93
ZNF469,0.000129,no,yes,no,no,EVT_1,EVT_1_ZNF469
ZNF677,0.106294,yes,no,no,no,EVT_1,EVT_1_ZNF677
ZBTB40,0.090652,yes,no,no,no,EVT_1,EVT_1_ZBTB40
JARID2,0.497255,yes,no,no,no,EVT_1,EVT_1_JARID2
ZNF813,0.080951,yes,no,no,no,EVT_1,EVT_1_ZNF813
ZNF841,0.023727,yes,no,no,no,EVT_1,EVT_1_ZNF841
ZNF540,0.017511,yes,yes,no,yes,EVT_1,EVT_1_ZNF540
FOXJ3,0.698373,yes,no,no,no,EVT_1,EVT_1_FOXJ3
NR3C1,0.289014,no,yes,no,no,EVT_1,EVT_1_NR3C1
SATB2,0.014843,yes,no,no,no,EVT_1,EVT_1_SATB2
ZNF300,0.019872,no,yes,no,no,EVT_1,EVT_1_ZNF300
TCF25,1.077977,yes,yes,no,yes,EVT_1,EVT_1_TCF25
ZBTB1,0.158445,yes,yes,no,yes,EVT_1,EVT_1_ZBTB1
RREB1,0.498875,yes,no,no,no,EVT_1,EVT_1_RREB1
IRF8,0.027463,yes,no,no,no,EVT_1,EVT_1_IRF8
SPIC,0.000356,no,yes,no,no,EVT_1,EVT_1_SPIC
YBX1,1.501556,yes,no,no,no,EVT_1,EVT_1_YBX1
PRRX1,0.006803,no,yes,no,no,EVT_1,EVT_1_PRRX1
ZNF423,0.044959,yes,no,no,no,EVT_1,EVT_1_ZNF423
ID3,1.407995,yes,no,no,no,EVT_1,EVT_1_ID3
PLAGL1,0.16824,yes,no,no,no,EVT_1,EVT_1_PLAGL1
TEAD1,1.053341,yes,no,no,no,EVT_1,EVT_1_TEAD1
ZNF350,0.06996,yes,no,no,no,EVT_1,EVT_1_ZNF350
ETV3,0.044505,no,yes,no,no,EVT_1,EVT_1_ETV3
HES4,0.14875,yes,yes,no,yes,EVT_1,EVT_1_HES4
ZBTB18,0.013494,no,yes,yes,no,EVT_1,EVT_1_ZBTB18
PPARA,0.088363,yes,no,no,no,EVT_1,EVT_1_PPARA
GCM1,1.04193,yes,no,yes,yes,EVT_1,EVT_1_GCM1
NR2C1,0.123551,no,yes,no,no,EVT_1,EVT_1_NR2C1
ZNF281,0.142764,yes,yes,no,yes,EVT_1,EVT_1_ZNF281
ZNF568,0.043173,yes,no,no,no,EVT_1,EVT_1_ZNF568
AHRR,0.068591,yes,no,no,no,EVT_1,EVT_1_AHRR
BATF3,0.182188,yes,no,no,no,EVT_1,EVT_1_BATF3
THAP1,0.102416,yes,no,yes,yes,EVT_1,EVT_1_THAP1
ZNF215,0.044299,yes,no,no,no,EVT_1,EVT_1_ZNF215
GATA2,0.712491,yes,no,yes,yes,EVT_1,EVT_1_GATA2
ZNF100,0.156036,yes,no,no,no,EVT_1,EVT_1_ZNF100
ETS2,0.456469,yes,no,no,no,EVT_1,EVT_1_ETS2
LRRFIP2,0.368492,yes,no,no,no,EVT_1,EVT_1_LRRFIP2
ZNF2,0.012328,yes,no,no,no,EVT_1,EVT_1_ZNF2
ZNF91,0.317027,no,yes,no,no,EVT_1,EVT_1_ZNF91
ZNF518A,0.318836,yes,no,no,no,EVT_1,EVT_1_ZNF518A
MTF1,0.146698,yes,no,no,no,EVT_1,EVT_1_MTF1
STAT6,0.103158,yes,no,no,no,EVT_1,EVT_1_STAT6
CREB3,0.224307,yes,no,no,no,EVT_1,EVT_1_CREB3
TCF15,0.000433,no,yes,no,no,EVT_1,EVT_1_TCF15
ZNF562,0.196878,yes,no,no,no,EVT_1,EVT_1_ZNF562
BHLHE41,0.010773,no,yes,no,no,EVT_1,EVT_1_BHLHE41
RUNX1,0.228111,yes,no,no,no,EVT_1,EVT_1_RUNX1
GLIS3,0.242204,yes,no,no,no,EVT_1,EVT_1_GLIS3
SNAI3,0.003252,yes,no,no,no,EVT_1,EVT_1_SNAI3
