,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin
48,COL3A1_integrin_a11b1_complex,['COL3A1'],"['GC', 'EVT_2', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
49,COL3A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL3A1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
49,COL3A1_integrin_a1b1_complex,['COL3A1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
50,COL3A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL3A1'],"['GC', 'EVT_2', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
50,COL3A1_integrin_a2b1_complex,['COL3A1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
51,COL3A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL3A1'],"['GC', 'EVT_2', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
51,COL4A1_integrin_a11b1_complex,['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
52,COL4A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,True
52,COL4A1_integrin_a1b1_complex,['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
53,COL4A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
53,COL4A1_integrin_a2b1_complex,['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
54,COL4A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL4A1'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
54,COL4A2_integrin_a11b1_complex,['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
55,COL4A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,True
55,COL4A2_integrin_a1b1_complex,['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
56,COL4A2_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
56,COL4A2_integrin_a2b1_complex,['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
57,COL4A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL4A2'],"['iEVT', 'EVT_2', 'eEVT', 'GC', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
57,COL5A1_integrin_a11b1_complex,['COL5A1'],"['GC', 'EVT_2', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
58,COL5A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL5A1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
58,COL5A1_integrin_a1b1_complex,['COL5A1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
59,COL5A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL5A1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
59,COL5A1_integrin_a2b1_complex,['COL5A1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
60,COL5A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL5A1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
60,COL5A2_integrin_a11b1_complex,['COL5A2'],['GC'],"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
61,COL5A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL5A2'],['GC'],(M+F)-F,True
61,COL5A2_integrin_a1b1_complex,['COL5A2'],['GC'],"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
62,COL5A2_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL5A2'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
62,COL5A2_integrin_a2b1_complex,['COL5A2'],['GC'],"['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
63,COL5A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL5A2'],"['GC', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
63,COL6A1_integrin_a11b1_complex,['COL6A1'],"['GC', 'eEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
64,COL6A1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL6A1'],"['GC', 'eEVT']",(M+F)-F,True
64,COL6A1_integrin_a1b1_complex,['COL6A1'],"['GC', 'eEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
65,COL6A1_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL6A1'],"['GC', 'eEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
65,COL6A1_integrin_a2b1_complex,['COL6A1'],"['GC', 'eEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
66,COL6A1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL6A1'],"['GC', 'eEVT', 'dS1', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),True
66,COL6A2_integrin_a11b1_complex,['COL6A2'],"['GC', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
67,COL6A2_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL6A2'],"['GC', 'iEVT']",(M+F)-F,True
67,COL6A2_integrin_a1b1_complex,['COL6A2'],"['GC', 'iEVT']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
68,COL6A2_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL6A2'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
68,COL6A2_integrin_a2b1_complex,['COL6A2'],"['GC', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
69,COL6A2_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL6A2'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
69,COL9A3_integrin_a11b1_complex,['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
70,COL9A3_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']",(M+F)-F,True
70,COL9A3_integrin_a1b1_complex,['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
71,COL9A3_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dNK2', 'dNK3', 'Endo_M', 'dNK1']",(M+F)-(M+F),True
71,COL9A3_integrin_a2b1_complex,['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
72,COL9A3_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['COL9A3'],"['VCT_CCC', 'EVT_2', 'eEVT', 'EVT_1', 'dNK2', 'dNK3', 'Endo_M', 'dNK1']",(M+F)-(M+F),True
72,F11R_integrin_aLb2_complex,['F11R'],"['GC', 'eEVT']","['ITGAL', 'ITGB2']","['dNK2', 'dNK3', 'dM1']",F-(M+F),True
73,F11R_integrin_aLb2_complex,"['ITGAL', 'ITGB2']",[],['F11R'],"['GC', 'eEVT']",(M+F)-F,True
73,FBN1_integrin_a5b1_complex,['FBN1'],"['GC', 'iEVT']","['ITGA5', 'ITGB1']","['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
74,FBN1_integrin_a5b1_complex,"['ITGA5', 'ITGB1']","['GC', 'EVT_2', 'iEVT']",['FBN1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
74,FLT1_complex_PGF,"['FLT1', 'KDR']","['EVT_2', 'iEVT']",['PGF'],"['EVT_1', 'EVT_2', 'GC', 'dS1', 'dM2', 'uSMC', 'Endo_M']",(M+F)-(M+F),False
75,FLT1_complex_PGF,['PGF'],"['EVT_1', 'EVT_2', 'GC']","['FLT1', 'KDR']","['EVT_2', 'iEVT', 'uSMC', 'Endo_M']",(M+F)-(M+F),False
75,FLT1_complex_VEGFB,"['FLT1', 'KDR']","['EVT_2', 'iEVT']",['VEGFB'],"['VCT_CCC', 'iEVT', 'GC', 'dS2', 'dS3', 'dM1', 'dS1', 'dM2']",(M+F)-(M+F),False
76,FLT1_complex_VEGFB,['VEGFB'],"['VCT_CCC', 'iEVT', 'GC']","['FLT1', 'KDR']","['EVT_2', 'iEVT', 'uSMC', 'Endo_M']",(M+F)-(M+F),False
76,FN1_integrin_a11b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGA11', 'ITGB1']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
77,FN1_integrin_a11b1_complex,"['ITGA11', 'ITGB1']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
77,FN1_integrin_a2b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
78,FN1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['FN1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
78,FN1_integrin_a3b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA3']","['GC', 'eEVT', 'dS2', 'dS3', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
79,FN1_integrin_a3b1_complex,"['ITGB1', 'ITGA3']","['GC', 'eEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
79,FN1_integrin_a4b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",F-(M+F),True
80,FN1_integrin_a4b1_complex,"['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
80,FN1_integrin_a4b7_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB7', 'ITGA4']","['EVT_2', 'iEVT', 'dNK2', 'dNK3']",F-(M+F),True
81,FN1_integrin_a4b7_complex,"['ITGB7', 'ITGA4']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
81,FN1_integrin_a5b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGA5', 'ITGB1']","['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
82,FN1_integrin_a5b1_complex,"['ITGA5', 'ITGB1']","['GC', 'EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT', 'dS1', 'dS2', 'uSMC', 'Endo_M']",(M+F)-(M+F),True
82,FN1_integrin_a8b1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGA8']","['EVT_2', 'iEVT', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),True
83,FN1_integrin_a8b1_complex,"['ITGB1', 'ITGA8']","['EVT_2', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
83,FN1_integrin_aVb1_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB1', 'ITGAV']","['GC', 'eEVT', 'iEVT', 'dS3', 'Endo_M', 'dS1', 'uSMC', 'dS2']",F-(M+F),True
84,FN1_integrin_aVb1_complex,"['ITGB1', 'ITGAV']","['GC', 'eEVT', 'iEVT']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
84,FN1_integrin_aVb5_complex,['FN1'],"['GC', 'EVT_2', 'iEVT']","['ITGB5', 'ITGAV']","['VCT_CCC', 'GC', 'dM2', 'dS2', 'dS3']",F-(M+F),True
85,FN1_integrin_aVb5_complex,"['ITGB5', 'ITGAV']","['VCT_CCC', 'GC']",['FN1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,True
85,FZD1_LRP6_WNT6,"['LRP6', 'FZD1']",[],['WNT6'],['VCT_CCC'],(M+F)-F,False
86,FZD1_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD1']","['dS1', 'dS2']",F-(M+F),False
86,FZD1_LRP6_WNT7A,"['LRP6', 'FZD1']",[],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
87,FZD1_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD1']","['dS1', 'dS2']",F-(M+F),False
87,FZD2_LRP5_WNT2B,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
88,FZD2_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD2', 'LRP5']","['VCT_CCC', 'dS1']",F-(M+F),False
88,FZD2_LRP5_WNT6,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
89,FZD2_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD2', 'LRP5']","['VCT_CCC', 'dS1']",F-(M+F),False
89,FZD2_LRP5_WNT7A,"['FZD2', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
90,FZD2_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD2', 'LRP5']","['VCT_CCC', 'dS1']",F-(M+F),False
90,FZD2_LRP6_WNT2B,"['LRP6', 'FZD2']","['VCT_CCC', 'iEVT']",['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
91,FZD2_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD2']","['VCT_CCC', 'iEVT', 'dS1', 'dS2']",F-(M+F),False
91,FZD2_LRP6_WNT6,"['LRP6', 'FZD2']","['VCT_CCC', 'iEVT']",['WNT6'],['VCT_CCC'],(M+F)-F,False
92,FZD2_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD2']","['VCT_CCC', 'iEVT', 'dS1', 'dS2']",F-(M+F),False
92,FZD2_LRP6_WNT7A,"['LRP6', 'FZD2']","['VCT_CCC', 'iEVT']",['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
93,FZD2_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD2']","['VCT_CCC', 'iEVT', 'dS1', 'dS2']",F-(M+F),False
93,FZD3_LRP5_WNT2B,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
94,FZD3_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD3', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),False
94,FZD3_LRP5_WNT6,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
95,FZD3_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD3', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),False
95,FZD3_LRP5_WNT7A,"['FZD3', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
96,FZD3_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD3', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC']",F-(M+F),False
