,interacting_pair,partners_in_troph,partners_in_troph_expr_where,partners_other,partners_other_expr_where,direction_of_interaction,is_integrin
96,FZD3_LRP6_WNT2B,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
97,FZD3_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD3']","['VCT_CCC', 'dS1', 'dS2', 'uSMC']",F-(M+F),False
97,FZD3_LRP6_WNT6,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
98,FZD3_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD3']","['VCT_CCC', 'dS1', 'dS2', 'uSMC']",F-(M+F),False
98,FZD3_LRP6_WNT7A,"['LRP6', 'FZD3']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
99,FZD3_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD3']","['VCT_CCC', 'dS1', 'dS2', 'uSMC']",F-(M+F),False
99,FZD4_LRP5_WNT2B,"['FZD4', 'LRP5']",[],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
100,FZD4_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD4', 'LRP5']",['Endo_M'],F-(M+F),False
100,FZD4_LRP5_WNT6,"['FZD4', 'LRP5']",[],['WNT6'],['VCT_CCC'],(M+F)-F,False
101,FZD4_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD4', 'LRP5']",['Endo_M'],F-(M+F),False
101,FZD4_LRP5_WNT7A,"['FZD4', 'LRP5']",[],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
102,FZD4_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD4', 'LRP5']",['Endo_M'],F-(M+F),False
102,FZD4_LRP6_WNT2B,"['LRP6', 'FZD4']",['eEVT'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
103,FZD4_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD4']","['eEVT', 'dS2', 'Endo_M']",F-(M+F),False
103,FZD4_LRP6_WNT6,"['LRP6', 'FZD4']",['eEVT'],['WNT6'],['VCT_CCC'],(M+F)-F,False
104,FZD4_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD4']","['eEVT', 'dS2', 'Endo_M']",F-(M+F),False
104,FZD4_LRP6_WNT7A,"['LRP6', 'FZD4']",['eEVT'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
105,FZD4_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD4']","['eEVT', 'dS2', 'Endo_M']",F-(M+F),False
105,FZD5_LRP5_WNT2B,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
106,FZD5_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD5', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
106,FZD5_LRP5_WNT6,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
107,FZD5_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD5', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
107,FZD5_LRP5_WNT7A,"['FZD5', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
108,FZD5_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD5', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
108,FZD5_LRP6_WNT2B,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
109,FZD5_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
109,FZD5_LRP6_WNT6,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
110,FZD5_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
110,FZD5_LRP6_WNT7A,"['LRP6', 'FZD5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
111,FZD5_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
111,FZD6_LRP5_WNT2B,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
112,FZD6_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD6', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
112,FZD6_LRP5_WNT6,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
113,FZD6_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD6', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
113,FZD6_LRP5_WNT7A,"['FZD6', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
114,FZD6_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD6', 'LRP5']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
114,FZD6_LRP6_WNT2B,"['LRP6', 'FZD6']","['VCT_CCC', 'iEVT']",['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
115,FZD6_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD6']","['VCT_CCC', 'iEVT', 'uSMC', 'Endo_M']",F-(M+F),False
115,FZD6_LRP6_WNT6,"['LRP6', 'FZD6']","['VCT_CCC', 'iEVT']",['WNT6'],['VCT_CCC'],(M+F)-F,False
116,FZD6_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD6']","['VCT_CCC', 'iEVT', 'uSMC', 'Endo_M']",F-(M+F),False
116,FZD6_LRP6_WNT7A,"['LRP6', 'FZD6']","['VCT_CCC', 'iEVT']",['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
117,FZD6_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD6']","['VCT_CCC', 'iEVT', 'uSMC', 'Endo_M']",F-(M+F),False
117,FZD7_LRP5_WNT2B,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
118,FZD7_LRP5_WNT2B,['WNT2B'],"['GC', 'iEVT']","['FZD7', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
118,FZD7_LRP5_WNT6,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
119,FZD7_LRP5_WNT6,['WNT6'],['VCT_CCC'],"['FZD7', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
119,FZD7_LRP5_WNT7A,"['FZD7', 'LRP5']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
120,FZD7_LRP5_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['FZD7', 'LRP5']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
120,FZD7_LRP6_WNT2B,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT2B'],"['GC', 'iEVT']",(M+F)-F,False
121,FZD7_LRP6_WNT2B,['WNT2B'],"['GC', 'iEVT']","['LRP6', 'FZD7']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
121,FZD7_LRP6_WNT6,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT6'],['VCT_CCC'],(M+F)-F,False
122,FZD7_LRP6_WNT6,['WNT6'],['VCT_CCC'],"['LRP6', 'FZD7']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
122,FZD7_LRP6_WNT7A,"['LRP6', 'FZD7']",['VCT_CCC'],['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,False
123,FZD7_LRP6_WNT7A,['WNT7A'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['LRP6', 'FZD7']","['VCT_CCC', 'dS1', 'uSMC', 'Endo_M']",F-(M+F),False
123,GDF11_TGFR_AVR2A,['GDF11'],['eEVT'],"['TGFBR1', 'ACVR2A']","['GC', 'iEVT', 'dM2', 'uSMC']",(M+F)-(M+F),False
124,GDF11_TGFR_AVR2A,"['TGFBR1', 'ACVR2A']","['GC', 'iEVT']",['GDF11'],"['eEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),False
124,GDF11_TGFR_AVR2B,['GDF11'],['eEVT'],"['ACVR2B', 'TGFBR1']","['GC', 'iEVT', 'dM2', 'uSMC']",(M+F)-(M+F),False
125,GDF11_TGFR_AVR2B,"['ACVR2B', 'TGFBR1']","['GC', 'iEVT']",['GDF11'],"['eEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),False
125,ICAM3_integrin_aDb2_complex,['ICAM3'],"['VCT_CCC', 'eEVT', 'EVT_1']","['ITGB2', 'ITGAD']","['GC', 'dNK2']",F-(M+F),True
126,ICAM3_integrin_aDb2_complex,"['ITGB2', 'ITGAD']",['GC'],['ICAM3'],"['VCT_CCC', 'eEVT', 'EVT_1']",(M+F)-F,True
126,ICAM3_integrin_aLb2_complex,['ICAM3'],"['VCT_CCC', 'eEVT', 'EVT_1']","['ITGAL', 'ITGB2']","['dNK2', 'dNK3', 'dM1']",F-(M+F),True
127,ICAM3_integrin_aLb2_complex,"['ITGAL', 'ITGB2']",[],['ICAM3'],"['VCT_CCC', 'eEVT', 'EVT_1']",(M+F)-F,True
127,IL7_receptor_IL7,"['IL2RG', 'IL7R']",['iEVT'],['IL7'],"['GC', 'eEVT']",(M+F)-F,False
128,IL7_receptor_IL7,['IL7'],"['GC', 'eEVT']","['IL2RG', 'IL7R']","['iEVT', 'dNK2', 'dNK3']",F-(M+F),False
128,JAM2_integrin_a4b1_complex,['JAM2'],"['GC', 'iEVT']","['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",F-(M+F),True
129,JAM2_integrin_a4b1_complex,"['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",['JAM2'],"['GC', 'iEVT']",(M+F)-F,True
129,JAM3_integrin_aMb2_complex,['JAM3'],"['EVT_1', 'EVT_2', 'GC']","['ITGB2', 'ITGAM']","['iEVT', 'dNK2', 'dM2', 'dM1']",F-(M+F),True
130,JAM3_integrin_aMb2_complex,"['ITGB2', 'ITGAM']",['iEVT'],['JAM3'],"['EVT_1', 'EVT_2', 'GC']",(M+F)-F,True
130,Kremen1_LRP6_DKK1,"['LRP6', 'KREMEN1']",['eEVT'],['DKK1'],"['GC', 'EVT_2', 'iEVT']",(M+F)-F,False
131,Kremen1_LRP6_DKK1,['DKK1'],"['GC', 'EVT_2', 'iEVT']","['LRP6', 'KREMEN1']","['eEVT', 'dS1', 'dS2']",F-(M+F),False
131,LAMC1_integrin_a2b1_complex,['LAMC1'],"['GC', 'iEVT']","['ITGB1', 'ITGA2']","['eEVT', 'Endo_M']",(M+F)-(M+F),True
132,LAMC1_integrin_a2b1_complex,"['ITGB1', 'ITGA2']",['eEVT'],['LAMC1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
132,LAMC1_integrin_a6b1_complex,['LAMC1'],"['GC', 'iEVT']","['ITGA6', 'ITGB1']",['Endo_M'],(M+F)-(M+F),True
133,LAMC1_integrin_a6b1_complex,"['ITGA6', 'ITGB1']",[],['LAMC1'],"['GC', 'iEVT', 'dS3', 'uSMC', 'Endo_M', 'dS1', 'dS2']",(M+F)-(M+F),True
133,LAMC1_integrin_a7b1_complex,['LAMC1'],"['GC', 'iEVT']","['ITGB1', 'ITGA7']","['EVT_2', 'iEVT', 'dS1', 'uSMC']",F-(M+F),True
134,LAMC1_integrin_a7b1_complex,"['ITGB1', 'ITGA7']","['EVT_2', 'iEVT']",['LAMC1'],"['GC', 'iEVT']",(M+F)-F,True
134,LRP4_MUSK_complex_AGRN,"['MUSK', 'LRP4']",['eEVT'],['AGRN'],"['iEVT', 'EVT_2', 'eEVT', 'GC']",(M+F)-F,False
135,LRP4_MUSK_complex_AGRN,['AGRN'],"['iEVT', 'EVT_2', 'eEVT', 'GC']","['MUSK', 'LRP4']","['eEVT', 'uSMC']",F-(M+F),False
135,LeukotrieneC4_byLTC4S_CYSLTR2,"['ALOX5', 'ALOX5AP', 'LTC4S']",[],['CYSLTR2'],['eEVT'],(M+F)-F,False
136,LeukotrieneC4_byLTC4S_CYSLTR2,['CYSLTR2'],['eEVT'],"['ALOX5', 'ALOX5AP', 'LTC4S']","['dM2', 'dM1']",F-(M+F),False
136,PDGFB_PDGFR_complex,['PDGFB'],"['VCT_CCC', 'iEVT']","['PDGFRB', 'PDGFRA']","['dS1', 'dS2', 'dS3']",(M+F)-(M+F),False
137,PDGFB_PDGFR_complex,"['PDGFRB', 'PDGFRA']",[],['PDGFB'],"['VCT_CCC', 'iEVT', 'dM2', 'dM1', 'Endo_M']",(M+F)-(M+F),False
137,PLAUR_integrin_a4b1_complex,['PLAUR'],"['VCT_CCC', 'EVT_2', 'EVT_1']","['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",F-(M+F),True
138,PLAUR_integrin_a4b1_complex,"['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",['PLAUR'],"['VCT_CCC', 'EVT_2', 'EVT_1']",(M+F)-F,True
138,PlexinA1_complex1_SEMA6D,"['PLXNA1', 'KDR']",['VCT_CCC'],['SEMA6D'],"['GC', 'eEVT', 'dM2', 'uSMC', 'Endo_M']",(M+F)-(M+F),False
139,PlexinA1_complex1_SEMA6D,['SEMA6D'],"['GC', 'eEVT']","['PLXNA1', 'KDR']","['VCT_CCC', 'dS2', 'dS3', 'uSMC']",(M+F)-(M+F),False
139,PlexinA1_complex2_SEMA6D,"['PLXNA1', 'TYROBP', 'TREM2']",[],['SEMA6D'],"['GC', 'eEVT']",(M+F)-F,False
140,PlexinA1_complex2_SEMA6D,['SEMA6D'],"['GC', 'eEVT']","['PLXNA1', 'TYROBP', 'TREM2']","['dM2', 'dM1']",F-(M+F),False
140,PlexinA1_complex3_SEMA3A,"['PLXNA1', 'NRP1']",['VCT_CCC'],['SEMA3A'],['GC'],(M+F)-F,False
141,PlexinA1_complex3_SEMA3A,['SEMA3A'],['GC'],"['PLXNA1', 'NRP1']","['VCT_CCC', 'dS1', 'dM2', 'uSMC', 'dM1']",F-(M+F),False
141,PlexinA2_complex1_SEMA3A,"['PLXNA2', 'NRP1']",['VCT_CCC'],['SEMA3A'],['GC'],(M+F)-F,False
142,PlexinA2_complex1_SEMA3A,['SEMA3A'],['GC'],"['PLXNA2', 'NRP1']","['VCT_CCC', 'uSMC', 'Endo_M']",F-(M+F),False
142,PlexinA3_complex1_SEMA3A,"['PLXNA3', 'NRP1']",[],['SEMA3A'],['GC'],(M+F)-F,False
143,PlexinA3_complex1_SEMA3A,['SEMA3A'],['GC'],"['PLXNA3', 'NRP1']","['dS1', 'dM2', 'uSMC', 'dM1']",F-(M+F),False
143,PlexinA4_complex1_SEMA3A,"['PLXNA4', 'NRP1']",[],['SEMA3A'],['GC'],(M+F)-F,False
144,PlexinA4_complex1_SEMA3A,['SEMA3A'],['GC'],"['PLXNA4', 'NRP1']","['dS1', 'uSMC']",F-(M+F),False
144,SEMA7A_integrin_a1b1_complex,['SEMA7A'],"['GC', 'EVT_2']","['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT', 'dS3', 'uSMC']",(M+F)-(M+F),True
145,SEMA7A_integrin_a1b1_complex,"['ITGB1', 'ITGA1']","['GC', 'eEVT', 'iEVT']",['SEMA7A'],"['GC', 'EVT_2', 'dS2', 'dS3']",(M+F)-(M+F),True
145,SPP1_integrin_a4b1_complex,['SPP1'],"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT']","['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",F-(M+F),True
146,SPP1_integrin_a4b1_complex,"['ITGB1', 'ITGA4']","['eEVT', 'EVT_2', 'iEVT']",['SPP1'],"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT']",(M+F)-F,True
146,SPP1_integrin_a9b1_complex,['SPP1'],"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT']","['ITGA9', 'ITGB1']","['GC', 'eEVT', 'uSMC', 'Endo_M']",F-(M+F),True
147,SPP1_integrin_a9b1_complex,"['ITGA9', 'ITGB1']","['GC', 'eEVT']",['SPP1'],"['VCT_CCC', 'EVT_2', 'eEVT', 'iEVT']",(M+F)-F,True
147,TGFB1_TGFbeta_receptor1,['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']","['TGFBR1', 'TGFBR2']","['GC', 'iEVT', 'dM2', 'uSMC']",(M+F)-(M+F),False
148,TGFB1_TGFbeta_receptor1,"['TGFBR1', 'TGFBR2']","['GC', 'iEVT']",['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT', 'dNK2', 'dNK3', 'dM1', 'dNK1']",(M+F)-(M+F),False
148,TGFB1_TGFbeta_receptor2,['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']","['TGFBR2', 'ACVR1']","['iEVT', 'uSMC', 'Endo_M']",F-(M+F),False
149,TGFB1_TGFbeta_receptor2,"['TGFBR2', 'ACVR1']",['iEVT'],['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,False
149,TGFB1_integrin_aVb6_complex,['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']","['ITGB6', 'ITGAV']","['VCT_CCC', 'dS2', 'dM2', 'uSMC', 'Endo_M']",F-(M+F),True
150,TGFB1_integrin_aVb6_complex,"['ITGB6', 'ITGAV']",['VCT_CCC'],['TGFB1'],"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,True
150,TGFB2_TGFbeta_receptor1,['TGFB2'],"['iEVT', 'eEVT', 'GC']","['TGFBR1', 'TGFBR2']","['GC', 'iEVT', 'dM2', 'uSMC']",(M+F)-(M+F),False
151,TGFB2_TGFbeta_receptor1,"['TGFBR1', 'TGFBR2']","['GC', 'iEVT']",['TGFB2'],"['iEVT', 'eEVT', 'GC', 'dS2', 'uSMC', 'Endo_M', 'dS1', 'dM2']",(M+F)-(M+F),False
151,TGFB2_TGFbeta_receptor2,['TGFB2'],"['iEVT', 'eEVT', 'GC']","['TGFBR2', 'ACVR1']","['iEVT', 'uSMC', 'Endo_M']",F-(M+F),False
152,TGFB2_TGFbeta_receptor2,"['TGFBR2', 'ACVR1']",['iEVT'],['TGFB2'],"['iEVT', 'eEVT', 'GC']",(M+F)-F,False
