,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction
154,DPP4_CXCL12,DPP4,"['VCT_CCC', 'EVT_1']",CXCL12,"['eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
155,DPP4_CXCL12,CXCL12,['eEVT'],DPP4,"['VCT_CCC', 'EVT_1', 'dS2', 'Endo_M']",(M+F)-(M+F)
156,DPP4_CXCL9,DPP4,"['VCT_CCC', 'EVT_1']",CXCL9,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
157,DPP4_CXCL9,CXCL9,"['VCT_CCC', 'EVT_2', 'iEVT']",DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F
158,DSC2_DSG2,DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",DSG2,"['eEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
159,DSC2_DSG2,DSG2,['eEVT'],DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F)
160,DSCAM_NTN1,DSCAM,"['eEVT', 'GC']",NTN1,"['EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
161,DSCAM_NTN1,NTN1,"['EVT_2', 'iEVT']",DSCAM,"['eEVT', 'GC']",(M+F)-F
162,DSG2_DSC3,DSG2,['eEVT'],DSC3,"['VCT_CCC', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
163,DSG2_DSC3,DSC3,['VCT_CCC'],DSG2,['eEVT'],(M+F)-F
164,EFNA1_EPHA1,EFNA1,"['EVT_1', 'GC']",EPHA1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
165,EFNA1_EPHA1,EPHA1,['eEVT'],EFNA1,"['EVT_1', 'GC', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
166,EFNA1_EPHA2,EFNA1,"['EVT_1', 'GC']",EPHA2,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
167,EFNA1_EPHA2,EPHA2,"['VCT_CCC', 'eEVT']",EFNA1,"['EVT_1', 'GC']",(M+F)-F
168,EFNA1_EPHA3,EFNA1,"['EVT_1', 'GC']",EPHA3,"['EVT_2', 'eEVT', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
169,EFNA1_EPHA3,EPHA3,"['EVT_2', 'eEVT', 'iEVT']",EFNA1,"['EVT_1', 'GC']",(M+F)-F
170,EFNA1_EPHA4,EFNA1,"['EVT_1', 'GC']",EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
171,EFNA1_EPHA4,EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA1,"['EVT_1', 'GC']",(M+F)-F
172,EFNA1_EPHA7,EFNA1,"['EVT_1', 'GC']",EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
173,EFNA1_EPHA7,EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA1,"['EVT_1', 'GC']",(M+F)-F
174,EFNA3_EPHA4,EFNA3,"['EVT_1', 'EVT_2']",EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
175,EFNA3_EPHA4,EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA3,"['EVT_1', 'EVT_2']",(M+F)-F
176,EFNA3_EPHA7,EFNA3,"['EVT_1', 'EVT_2']",EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
177,EFNA3_EPHA7,EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA3,"['EVT_1', 'EVT_2']",(M+F)-F
178,EFNA4_EPHA4,EFNA4,"['EVT_1', 'EVT_2']",EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
179,EFNA4_EPHA4,EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA4,"['EVT_1', 'EVT_2']",(M+F)-F
180,EFNA4_EPHA7,EFNA4,"['EVT_1', 'EVT_2']",EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
181,EFNA4_EPHA7,EPHA7,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNA4,"['EVT_1', 'EVT_2']",(M+F)-F
182,EFNB2_EPHB3,EFNB2,"['EVT_2', 'GC']",EPHB3,"['EVT_2', 'eEVT', 'iEVT']",(M+F)-F
183,EFNB2_EPHB3,EPHB3,"['EVT_2', 'eEVT', 'iEVT']",EFNB2,"['EVT_2', 'GC', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
184,EGFR_AREG,EGFR,"['VCT_CCC', 'iEVT', 'GC']",AREG,"['VCT_CCC', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
185,EGFR_AREG,AREG,"['VCT_CCC', 'eEVT', 'iEVT']",EGFR,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
186,EGFR_BTC,EGFR,"['VCT_CCC', 'iEVT', 'GC']",BTC,"['VCT_CCC', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
187,EGFR_BTC,BTC,"['VCT_CCC', 'iEVT']",EGFR,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
188,EGFR_HBEGF,EGFR,"['VCT_CCC', 'iEVT', 'GC']",HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
189,EGFR_HBEGF,HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2']",EGFR,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
190,EGFR_TGFA,EGFR,"['VCT_CCC', 'iEVT', 'GC']",TGFA,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F)
191,EGFR_TGFA,TGFA,"['EVT_1', 'EVT_2', 'iEVT']",EGFR,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
192,EPHA1_EFNA3,EPHA1,['eEVT'],EFNA3,"['EVT_1', 'EVT_2', 'dNK1', 'dM1', 'Endo_M']",(M+F)-(M+F)
193,EPHA1_EFNA3,EFNA3,"['EVT_1', 'EVT_2']",EPHA1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
194,EPHA1_EFNA4,EPHA1,['eEVT'],EFNA4,"['EVT_1', 'EVT_2', 'dM1', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
195,EPHA1_EFNA4,EFNA4,"['EVT_1', 'EVT_2']",EPHA1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
196,EPHA1_EFNA5,EPHA1,['eEVT'],EFNA5,"['VCT_CCC', 'GC', 'dNK1', 'dNK2', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
197,EPHA1_EFNA5,EFNA5,"['VCT_CCC', 'GC']",EPHA1,['eEVT'],(M+F)-F
198,EPHA2_EFNA3,EPHA2,"['VCT_CCC', 'eEVT']",EFNA3,"['EVT_1', 'EVT_2']",(M+F)-F
199,EPHA2_EFNA3,EFNA3,"['EVT_1', 'EVT_2']",EPHA2,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
200,EPHA2_EFNA4,EPHA2,"['VCT_CCC', 'eEVT']",EFNA4,"['EVT_1', 'EVT_2']",(M+F)-F
201,EPHA2_EFNA4,EFNA4,"['EVT_1', 'EVT_2']",EPHA2,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
202,EPHA2_EFNB1,EPHA2,"['VCT_CCC', 'eEVT']",EFNB1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
203,EPHA2_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHA2,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
204,EPHA3_EFNA3,EPHA3,"['EVT_2', 'eEVT', 'iEVT']",EFNA3,"['EVT_1', 'EVT_2']",(M+F)-F
205,EPHA3_EFNA3,EFNA3,"['EVT_1', 'EVT_2']",EPHA3,"['EVT_2', 'eEVT', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
206,EPHA3_EFNA4,EPHA3,"['EVT_2', 'eEVT', 'iEVT']",EFNA4,"['EVT_1', 'EVT_2']",(M+F)-F
207,EPHA3_EFNA4,EFNA4,"['EVT_1', 'EVT_2']",EPHA3,"['EVT_2', 'eEVT', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
208,EPHA4_EFNB1,EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNB1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
209,EPHA4_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHA4,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
210,EPHB1_EFNB1,EPHB1,"['eEVT', 'iEVT']",EFNB1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
211,EPHB1_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB1,"['eEVT', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F)
212,EPHB2_EFNA5,EPHB2,"['eEVT', 'iEVT', 'GC']",EFNA5,"['VCT_CCC', 'GC', 'dNK1', 'dNK2', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
213,EPHB2_EFNA5,EFNA5,"['VCT_CCC', 'GC']",EPHB2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
214,EPHB2_EFNB1,EPHB2,"['eEVT', 'iEVT', 'GC']",EFNB1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
215,EPHB2_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F)
216,EPHB2_EFNB2,EPHB2,"['eEVT', 'iEVT', 'GC']",EFNB2,"['EVT_2', 'GC', 'dS3', 'dS2', 'Endo_M']",F-(M+F)
217,EPHB2_EFNB2,EFNB2,"['EVT_2', 'GC']",EPHB2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
218,EPHB3_EFNB1,EPHB3,"['EVT_2', 'eEVT', 'iEVT']",EFNB1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
219,EPHB3_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB3,"['EVT_2', 'eEVT', 'iEVT', 'dNK2', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F)
220,EPHB4_EFNB1,EPHB4,['VCT_CCC'],EFNB1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
221,EPHB4_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB4,"['VCT_CCC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
222,EPHB6_EFNB1,EPHB6,"['VCT_CCC', 'EVT_2', 'iEVT']",EFNB1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
223,EPHB6_EFNB1,EFNB1,"['EVT_2', 'iEVT', 'GC']",EPHB6,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2', 'dS1']",F-(M+F)
224,EPO_EPOR,EPO,"['VCT_CCC', 'EVT_1']",EPOR,"['eEVT', 'iEVT', 'dS3', 'dS2']",(M+F)-(M+F)
225,EPO_EPOR,EPOR,"['eEVT', 'iEVT']",EPO,"['VCT_CCC', 'EVT_1', 'dS1', 'uSMC']",(M+F)-(M+F)
226,ERBB2_HBEGF,ERBB2,"['eEVT', 'iEVT', 'GC']",HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
227,ERBB2_HBEGF,HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2']",ERBB2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
228,ERBB3_BTC,ERBB3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",BTC,"['VCT_CCC', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
229,ERBB3_BTC,BTC,"['VCT_CCC', 'iEVT']",ERBB3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
230,ERBB4_HBEGF,ERBB4,['eEVT'],HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
231,ERBB4_HBEGF,HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2']",ERBB4,['eEVT'],(M+F)-F
232,ERBB4_NRG4,ERBB4,['eEVT'],NRG4,"['GC', 'dNK1', 'dS1', 'uSMC']",F-(M+F)
233,ERBB4_NRG4,NRG4,['GC'],ERBB4,['eEVT'],(M+F)-F
234,EREG_EGFR,EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",EGFR,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
235,EREG_EGFR,EGFR,"['VCT_CCC', 'iEVT', 'GC']",EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
236,EREG_ERBB4,EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",ERBB4,['eEVT'],(M+F)-F
237,EREG_ERBB4,ERBB4,['eEVT'],EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
238,ESAM_ESAM,ESAM,"['eEVT', 'iEVT', 'GC']",ESAM,"['eEVT', 'iEVT', 'GC', 'Endo_M']",(M+F)-(M+F)
239,ESAM_ESAM,ESAM,"['eEVT', 'iEVT', 'GC']",ESAM,"['eEVT', 'iEVT', 'GC', 'Endo_M']",(M+F)-(M+F)
240,Estradiol_byCYP19A1_ESR1,CYP19A1,['GC'],ESR1,"['GC', 'dS3', 'dS2', 'dS1', 'uSMC']",(M+F)-(M+F)
241,Estradiol_byCYP19A1_ESR1,ESR1,['GC'],CYP19A1,"['GC', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
242,Estradiol_byCYP19A1_ESR2,CYP19A1,['GC'],ESR2,"['eEVT', 'iEVT', 'GC', 'Endo_M', 'uSMC']",(M+F)-(M+F)
243,Estradiol_byCYP19A1_ESR2,ESR2,"['eEVT', 'iEVT', 'GC']",CYP19A1,"['GC', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
244,Estradiol_byHSD17B1_ESR1,HSD17B1,"['VCT_CCC', 'eEVT', 'GC']",ESR1,['GC'],(M+F)-F
245,Estradiol_byHSD17B1_ESR1,ESR1,['GC'],HSD17B1,"['VCT_CCC', 'eEVT', 'GC', 'dM2', 'dS3', 'dS2', 'Endo_M', 'uSMC']",F-(M+F)
246,Estradiol_byHSD17B1_ESR2,HSD17B1,"['VCT_CCC', 'eEVT', 'GC']",ESR2,"['eEVT', 'iEVT', 'GC']",(M+F)-F
247,Estradiol_byHSD17B1_ESR2,ESR2,"['eEVT', 'iEVT', 'GC']",HSD17B1,"['VCT_CCC', 'eEVT', 'GC', 'dM2', 'dS3', 'dS2', 'Endo_M', 'uSMC']",F-(M+F)
248,FGF1_FGFR1,FGF1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
249,FGF1_FGFR1,FGFR1,"['EVT_2', 'iEVT', 'GC']",FGF1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
250,FGF1_FGFR2,FGF1,['eEVT'],FGFR2,"['VCT_CCC', 'uSMC']",F-(M+F)
251,FGF1_FGFR2,FGFR2,['VCT_CCC'],FGF1,['eEVT'],(M+F)-F
252,FGF1_FGFR3,FGF1,['eEVT'],FGFR3,"['EVT_1', 'EVT_2', 'eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
253,FGF1_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
254,FGF2_FGFR1,FGF2,"['VCT_CCC', 'EVT_2', 'iEVT']",FGFR1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
255,FGF2_FGFR1,FGFR1,"['EVT_2', 'iEVT', 'GC']",FGF2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
256,FGF2_FGFR3,FGF2,"['VCT_CCC', 'EVT_2', 'iEVT']",FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
257,FGF2_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
258,FGFR1_NCAM1,FGFR1,"['EVT_2', 'iEVT', 'GC']",NCAM1,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'uSMC']",(M+F)-(M+F)
259,FGFR1_NCAM1,NCAM1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
260,FLT1_PGF,FLT1,"['EVT_2', 'iEVT', 'GC']",PGF,"['EVT_1', 'EVT_2', 'GC', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
261,FLT1_PGF,PGF,"['EVT_1', 'EVT_2', 'GC']",FLT1,"['EVT_2', 'iEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
262,FLT1_VEGFB,FLT1,"['EVT_2', 'iEVT', 'GC']",VEGFB,"['VCT_CCC', 'iEVT', 'GC', 'dM1', 'dM2', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
263,FLT1_VEGFB,VEGFB,"['VCT_CCC', 'iEVT', 'GC']",FLT1,"['EVT_2', 'iEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
264,FLT4_VEGFC,FLT4,['eEVT'],VEGFC,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
265,FLT4_VEGFC,VEGFC,"['VCT_CCC', 'EVT_2', 'iEVT']",FLT4,['eEVT'],(M+F)-F
266,FPR3_HEBP1,FPR3,"['VCT_CCC', 'EVT_2', 'iEVT']",HEBP1,"['VCT_CCC', 'iEVT', 'GC']",(M+F)-F
267,FPR3_HEBP1,HEBP1,"['VCT_CCC', 'iEVT', 'GC']",FPR3,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
268,FRZB_WNT2B,FRZB,"['VCT_CCC', 'EVT_2', 'iEVT']",WNT2B,"['iEVT', 'GC']",(M+F)-F
269,FRZB_WNT2B,WNT2B,"['iEVT', 'GC']",FRZB,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
270,FRZB_WNT6,FRZB,"['VCT_CCC', 'EVT_2', 'iEVT']",WNT6,['VCT_CCC'],(M+F)-F
271,FRZB_WNT6,WNT6,['VCT_CCC'],FRZB,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
272,FTH1_SCARA5,FTH1,"['VCT_CCC', 'EVT_1', 'EVT_2']",SCARA5,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1']",F-(M+F)
273,FTH1_SCARA5,SCARA5,"['VCT_CCC', 'EVT_2', 'iEVT']",FTH1,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
274,FTL_SCARA5,FTL,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",SCARA5,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1']",F-(M+F)
275,FTL_SCARA5,SCARA5,"['VCT_CCC', 'EVT_2', 'iEVT']",FTL,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
276,GFRA2_TMEM132A,GFRA2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TMEM132A,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
277,GFRA2_TMEM132A,TMEM132A,"['EVT_2', 'eEVT', 'iEVT', 'GC']",GFRA2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F)
278,GH2_GHR,GH2,['eEVT'],GHR,"['VCT_CCC', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
279,GH2_GHR,GHR,"['VCT_CCC', 'GC']",GH2,['eEVT'],(M+F)-F
280,GPR1_RARRES2,GPR1,"['eEVT', 'iEVT', 'GC']",RARRES2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS2', 'dS1', 'uSMC']",F-(M+F)
281,GPR1_RARRES2,RARRES2,"['VCT_CCC', 'EVT_2', 'iEVT']",GPR1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
282,GPR37_PSAP,GPR37,"['VCT_CCC', 'EVT_1', 'eEVT']",PSAP,"['iEVT', 'GC', 'dM1', 'dM2', 'dS3', 'dS2']",(M+F)-(M+F)
283,GPR37_PSAP,PSAP,"['iEVT', 'GC']",GPR37,"['VCT_CCC', 'EVT_1', 'eEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
284,HFE_JAG2,HFE,"['EVT_2', 'iEVT']",JAG2,"['eEVT', 'iEVT']",(M+F)-F
285,HFE_JAG2,JAG2,"['eEVT', 'iEVT']",HFE,"['EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'Endo_M', 'uSMC']",F-(M+F)
286,HLA-C_KIR2DL1,HLA-C,"['EVT_1', 'EVT_2', 'iEVT']",KIR2DL1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
287,HLA-C_KIR2DL1,KIR2DL1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",HLA-C,"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
288,HLA-C_KIR2DL3,HLA-C,"['EVT_1', 'EVT_2', 'iEVT']",KIR2DL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
289,HLA-C_KIR2DL3,KIR2DL3,"['VCT_CCC', 'EVT_1', 'EVT_2']",HLA-C,"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
290,HLA-E_KLRC1,HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",KLRC1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
291,HLA-E_KLRC1,KLRC1,['eEVT'],HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F
292,HLA-E_KLRC2,HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",KLRC2,"['GC', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
293,HLA-E_KLRC2,KLRC2,['GC'],HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F
294,HLA-E_VSIR,HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",VSIR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dNK3', 'dM1', 'dM2', 'dS1']",(M+F)-(M+F)
295,HLA-E_VSIR,VSIR,"['VCT_CCC', 'EVT_1', 'EVT_2']",HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3', 'Endo_M']",(M+F)-(M+F)
296,HLA-F_LILRB1,HLA-F,"['eEVT', 'GC']",LILRB1,"['eEVT', 'dNK1', 'dM1', 'dM2']",F-(M+F)
297,HLA-F_LILRB1,LILRB1,['eEVT'],HLA-F,"['eEVT', 'GC']",(M+F)-F
298,HLA-F_LILRB2,HLA-F,"['eEVT', 'GC']",LILRB2,"['eEVT', 'dM1', 'dM2']",F-(M+F)
299,HLA-F_LILRB2,LILRB2,['eEVT'],HLA-F,"['eEVT', 'GC']",(M+F)-F
300,HLA-F_VSIR,HLA-F,"['eEVT', 'GC']",VSIR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dNK3', 'dM1', 'dM2', 'dS1']",(M+F)-(M+F)
301,HLA-F_VSIR,VSIR,"['VCT_CCC', 'EVT_1', 'EVT_2']",HLA-F,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3']",(M+F)-(M+F)
302,HLA-G_LILRB1,HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",LILRB1,"['eEVT', 'dNK1', 'dM1', 'dM2']",F-(M+F)
303,HLA-G_LILRB1,LILRB1,['eEVT'],HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F
304,HLA-G_LILRB2,HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",LILRB2,"['eEVT', 'dM1', 'dM2']",F-(M+F)
305,HLA-G_LILRB2,LILRB2,['eEVT'],HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F
306,ICAM3_CD209,ICAM3,"['VCT_CCC', 'EVT_1', 'eEVT']",CD209,"['eEVT', 'dM1', 'dM2']",F-(M+F)
