,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction
464,PROC_PROCR,PROC,"['EVT_1', 'EVT_2', 'iEVT']",PROCR,"['EVT_1', 'iEVT', 'GC']",(M+F)-F
465,PROC_PROCR,PROCR,"['EVT_1', 'iEVT', 'GC']",PROC,"['EVT_1', 'EVT_2', 'iEVT', 'dM1']",F-(M+F)
466,PTGER3_ProstaglandinE2_byPTGES,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
467,PTGER3_ProstaglandinE2_byPTGES,PTGES,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
468,PTGER3_ProstaglandinE2_byPTGES2,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES2,"['VCT_CCC', 'EVT_1', 'eEVT', 'dNK1', 'dNK2', 'dM1', 'dS3', 'dS1']",(M+F)-(M+F)
469,PTGER3_ProstaglandinE2_byPTGES2,PTGES2,"['VCT_CCC', 'EVT_1', 'eEVT']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
470,PTGER3_ProstaglandinE2_byPTGES3,PTGER3,"['eEVT', 'iEVT', 'GC']",PTGES3,"['VCT_CCC', 'EVT_1', 'dNK3', 'dM1', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F)
471,PTGER3_ProstaglandinE2_byPTGES3,PTGES3,"['VCT_CCC', 'EVT_1']",PTGER3,"['eEVT', 'iEVT', 'GC', 'dS1', 'uSMC']",(M+F)-(M+F)
472,PTPRC_CD22,PTPRC,['eEVT'],CD22,"['eEVT', 'iEVT']",(M+F)-F
473,PTPRC_CD22,CD22,"['eEVT', 'iEVT']",PTPRC,"['eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
474,PTPRF_CD46,PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC']",CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
475,PTPRF_CD46,CD46,"['eEVT', 'iEVT', 'GC']",PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
476,PTPRF_IL1RAP,PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC']",IL1RAP,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
477,PTPRF_IL1RAP,IL1RAP,"['EVT_2', 'eEVT', 'iEVT', 'GC']",PTPRF,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
478,PTPRS_NTRK3,PTPRS,"['eEVT', 'iEVT', 'GC']",NTRK3,"['eEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
479,PTPRS_NTRK3,NTRK3,['eEVT'],PTPRS,"['eEVT', 'iEVT', 'GC']",(M+F)-F
480,PVR_CD226,PVR,"['EVT_2', 'iEVT']",CD226,"['eEVT', 'dNK3', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F)
481,PVR_CD226,CD226,['eEVT'],PVR,"['EVT_2', 'iEVT']",(M+F)-F
482,PVR_CD96,PVR,"['EVT_2', 'iEVT']",CD96,"['eEVT', 'GC', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
483,PVR_CD96,CD96,"['eEVT', 'GC']",PVR,"['EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F)
484,PVR_NECTIN3,PVR,"['EVT_2', 'iEVT']",NECTIN3,"['eEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
485,PVR_NECTIN3,NECTIN3,"['eEVT', 'GC']",PVR,"['EVT_2', 'iEVT']",(M+F)-F
486,PVR_TIGIT,PVR,"['EVT_2', 'iEVT']",TIGIT,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3']",F-(M+F)
487,PVR_TIGIT,TIGIT,"['EVT_1', 'EVT_2', 'iEVT']",PVR,"['EVT_2', 'iEVT']",(M+F)-F
488,RAMP3_ADM,RAMP3,"['EVT_2', 'iEVT']",ADM,"['EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
489,RAMP3_ADM,ADM,"['EVT_1', 'EVT_2', 'iEVT']",RAMP3,"['EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
490,RBP4_STRA6,RBP4,"['EVT_1', 'EVT_2']",STRA6,"['VCT_CCC', 'GC', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
491,RBP4_STRA6,STRA6,"['VCT_CCC', 'GC']",RBP4,"['EVT_1', 'EVT_2', 'dNK1', 'dNK2', 'dS3', 'dS2']",(M+F)-(M+F)
492,RELN_VLDLR,RELN,"['EVT_2', 'iEVT']",VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
493,RELN_VLDLR,VLDLR,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",RELN,"['EVT_2', 'iEVT', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
494,RNASET2_TLR8,RNASET2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TLR8,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F)
495,RNASET2_TLR8,TLR8,"['VCT_CCC', 'iEVT']",RNASET2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
496,S1PR2_FAM19A5,S1PR2,"['VCT_CCC', 'iEVT']",FAM19A5,"['EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
497,S1PR2_FAM19A5,FAM19A5,"['EVT_2', 'iEVT']",S1PR2,"['VCT_CCC', 'iEVT']",(M+F)-F
498,SELE_GLG1,SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",GLG1,"['eEVT', 'iEVT', 'GC']",(M+F)-F
499,SELE_GLG1,GLG1,"['eEVT', 'iEVT', 'GC']",SELE,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS2', 'Endo_M']",F-(M+F)
500,SELP_CCD47,SELP,"['VCT_CCC', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
501,SELP_CCD47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
502,SELP_CCDC47,SELP,"['VCT_CCC', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
503,SELP_CCDC47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
504,SELP_CD24,SELP,"['VCT_CCC', 'iEVT']",CD24,"['VCT_CCC', 'EVT_1']",(M+F)-F
505,SELP_CD24,CD24,"['VCT_CCC', 'EVT_1']",SELP,"['VCT_CCC', 'iEVT', 'Endo_M']",F-(M+F)
506,SEMA3E_PLXND1,SEMA3E,"['eEVT', 'GC']",PLXND1,"['EVT_2', 'eEVT']",(M+F)-F
507,SEMA3E_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA3E,"['eEVT', 'GC', 'dS2', 'Endo_M', 'uSMC']",F-(M+F)
508,SEMA4A_PLXND1,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",PLXND1,"['EVT_2', 'eEVT']",(M+F)-F
509,SEMA4A_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
510,SEMA4A_SEM4B,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
511,SEMA4A_SEM4B,SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
512,SEMA4A_SEMA4B,SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT']",SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
513,SEMA4A_SEMA4B,SEMA4B,"['EVT_2', 'eEVT', 'iEVT', 'GC']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F)
514,SFRP1_WNT2B,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT2B,"['iEVT', 'GC', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
515,SFRP1_WNT2B,WNT2B,"['iEVT', 'GC']",SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
516,SFRP1_WNT5B,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT5B,"['eEVT', 'GC', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
517,SFRP1_WNT5B,WNT5B,"['eEVT', 'GC']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
518,SFRP1_WNT6,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT6,"['VCT_CCC', 'dS3', 'dS2']",(M+F)-(M+F)
519,SFRP1_WNT6,WNT6,['VCT_CCC'],SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
520,SFRP4_WNT2B,SFRP4,['eEVT'],WNT2B,"['iEVT', 'GC']",(M+F)-F
521,SFRP4_WNT2B,WNT2B,"['iEVT', 'GC']",SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
522,SFRP4_WNT6,SFRP4,['eEVT'],WNT6,['VCT_CCC'],(M+F)-F
523,SFRP4_WNT6,WNT6,['VCT_CCC'],SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
524,SIRPA_CD47,SIRPA,"['VCT_CCC', 'EVT_2', 'iEVT']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F
525,SIRPA_CD47,CD47,"['VCT_CCC', 'EVT_1']",SIRPA,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2']",F-(M+F)
526,SIRPB1_CD47,SIRPB1,"['VCT_CCC', 'EVT_1', 'EVT_2']",CD47,"['VCT_CCC', 'EVT_1']",(M+F)-F
527,SIRPB1_CD47,CD47,"['VCT_CCC', 'EVT_1']",SIRPB1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1']",F-(M+F)
528,SLIT2_ROBO1,SLIT2,"['eEVT', 'iEVT', 'GC']",ROBO1,"['VCT_CCC', 'eEVT', 'GC']",(M+F)-F
529,SLIT2_ROBO1,ROBO1,"['VCT_CCC', 'eEVT', 'GC']",SLIT2,"['eEVT', 'iEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
530,SLIT2_ROBO2,SLIT2,"['eEVT', 'iEVT', 'GC']",ROBO2,['eEVT'],(M+F)-F
531,SLIT2_ROBO2,ROBO2,['eEVT'],SLIT2,"['eEVT', 'iEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
532,TACR3_TAC3,TACR3,"['eEVT', 'iEVT', 'GC']",TAC3,"['iEVT', 'GC', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
533,TACR3_TAC3,TAC3,"['iEVT', 'GC']",TACR3,"['eEVT', 'iEVT', 'GC', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
534,TEK_ANGPT1,TEK,"['EVT_1', 'EVT_2', 'iEVT']",ANGPT1,"['eEVT', 'iEVT']",(M+F)-F
535,TEK_ANGPT1,ANGPT1,"['eEVT', 'iEVT']",TEK,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
536,TEK_ANGPT4,TEK,"['EVT_1', 'EVT_2', 'iEVT']",ANGPT4,"['EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
537,TEK_ANGPT4,ANGPT4,"['EVT_1', 'EVT_2', 'eEVT']",TEK,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F)
538,TGFB1_TGFBR3,TGFB1,"['EVT_1', 'EVT_2', 'iEVT']",TGFBR3,"['eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
539,TGFB1_TGFBR3,TGFBR3,"['eEVT', 'iEVT', 'GC']",TGFB1,"['EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1']",(M+F)-(M+F)
540,TGFB2_TGFBR3,TGFB2,"['eEVT', 'iEVT', 'GC']",TGFBR3,"['eEVT', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
541,TGFB2_TGFBR3,TGFBR3,"['eEVT', 'iEVT', 'GC']",TGFB2,"['eEVT', 'iEVT', 'GC', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
542,TGFB3_TGFBR3,TGFB3,['eEVT'],TGFBR3,"['eEVT', 'iEVT', 'GC']",(M+F)-F
543,TGFB3_TGFBR3,TGFBR3,"['eEVT', 'iEVT', 'GC']",TGFB3,"['eEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
544,TIGIT_NECTIN2,TIGIT,"['EVT_1', 'EVT_2', 'iEVT']",NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F
545,TIGIT_NECTIN2,NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TIGIT,"['EVT_1', 'EVT_2', 'iEVT', 'dNK3']",F-(M+F)
546,TMED2_SLAMF6,TMED2,"['VCT_CCC', 'EVT_1']",SLAMF6,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
547,TMED2_SLAMF6,SLAMF6,"['VCT_CCC', 'EVT_2', 'iEVT']",TMED2,"['VCT_CCC', 'EVT_1']",(M+F)-F
548,TNFRSF10A_TNFSF10,TNFRSF10A,['eEVT'],TNFSF10,"['iEVT', 'GC']",(M+F)-F
549,TNFRSF10A_TNFSF10,TNFSF10,"['iEVT', 'GC']",TNFRSF10A,"['eEVT', 'dNK2', 'dNK3', 'Endo_M']",F-(M+F)
550,TNFRSF10B_PIGR,TNFRSF10B,"['VCT_CCC', 'GC']",PIGR,"['EVT_2', 'eEVT', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dS2', 'Endo_M', 'dS1']",F-(M+F)
551,TNFRSF10B_PIGR,PIGR,"['EVT_2', 'eEVT', 'iEVT']",TNFRSF10B,"['VCT_CCC', 'GC']",(M+F)-F
552,TNFRSF10B_TNFSF10,TNFRSF10B,"['VCT_CCC', 'GC']",TNFSF10,"['iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'Endo_M']",(M+F)-(M+F)
553,TNFRSF10B_TNFSF10,TNFSF10,"['iEVT', 'GC']",TNFRSF10B,"['VCT_CCC', 'GC', 'dM1', 'dM2', 'dS2', 'Endo_M']",(M+F)-(M+F)
554,TNFRSF21_APP,TNFRSF21,"['VCT_CCC', 'eEVT']",APP,"['eEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
555,TNFRSF21_APP,APP,"['eEVT', 'GC']",TNFRSF21,"['VCT_CCC', 'eEVT', 'dM1', 'dM2', 'dS3', 'dS2']",(M+F)-(M+F)
556,TNFSF10_TNFRSF10D,TNFSF10,"['iEVT', 'GC']",TNFRSF10D,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'Endo_M']",F-(M+F)
557,TNFSF10_TNFRSF10D,TNFRSF10D,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",TNFSF10,"['iEVT', 'GC']",(M+F)-F
558,TNFSF12_TNFRSF12A,TNFSF12,"['VCT_CCC', 'iEVT']",TNFRSF12A,"['VCT_CCC', 'EVT_1']",(M+F)-F
559,TNFSF12_TNFRSF12A,TNFRSF12A,"['VCT_CCC', 'EVT_1']",TNFSF12,"['VCT_CCC', 'iEVT', 'dNK3', 'dM1', 'dM2', 'dS3']",F-(M+F)
560,TNFSF12_TNFRSF25,TNFSF12,"['VCT_CCC', 'iEVT']",TNFRSF25,"['EVT_2', 'eEVT', 'iEVT', 'GC']",(M+F)-F
561,TNFSF12_TNFRSF25,TNFRSF25,"['EVT_2', 'eEVT', 'iEVT', 'GC']",TNFSF12,"['VCT_CCC', 'iEVT', 'dNK3', 'dM1', 'dM2', 'dS3']",F-(M+F)
562,TNFSF14_LTBR,TNFSF14,"['EVT_2', 'iEVT']",LTBR,"['eEVT', 'GC']",(M+F)-F
563,TNFSF14_LTBR,LTBR,"['eEVT', 'GC']",TNFSF14,"['EVT_2', 'iEVT', 'dNK2', 'dNK3']",F-(M+F)
564,TNF_TNFRSF1A,TNF,"['VCT_CCC', 'EVT_2', 'iEVT']",TNFRSF1A,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC']",(M+F)-F
565,TNF_TNFRSF1A,TNFRSF1A,"['VCT_CCC', 'EVT_1', 'iEVT', 'GC']",TNF,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
566,TNF_TNFRSF1B,TNF,"['VCT_CCC', 'EVT_2', 'iEVT']",TNFRSF1B,['eEVT'],(M+F)-F
567,TNF_TNFRSF1B,TNFRSF1B,['eEVT'],TNF,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F)
568,TNR21_APP,TNFRSF21,"['VCT_CCC', 'eEVT']",APP,"['eEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
569,TNR21_APP,APP,"['eEVT', 'GC']",TNFRSF21,"['VCT_CCC', 'eEVT', 'dM1', 'dM2', 'dS3', 'dS2']",(M+F)-(M+F)
570,TREML2_CCD47,TREML2,"['VCT_CCC', 'EVT_2', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
571,TREML2_CCD47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",TREML2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
572,TREML2_CCDC47,TREML2,"['VCT_CCC', 'EVT_2', 'iEVT']",CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F
573,TREML2_CCDC47,CCDC47,"['VCT_CCC', 'EVT_1', 'iEVT']",TREML2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
574,TREML2_CD276,TREML2,"['VCT_CCC', 'EVT_2', 'iEVT']",CD276,"['EVT_1', 'eEVT', 'iEVT', 'GC']",(M+F)-F
575,TREML2_CD276,CD276,"['EVT_1', 'eEVT', 'iEVT', 'GC']",TREML2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F)
576,TYRO3_GAS6,TYRO3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",GAS6,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F)
577,TYRO3_GAS6,GAS6,"['VCT_CCC', 'EVT_2', 'iEVT']",TYRO3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",(M+F)-F
578,UNC5B_NTN4,UNC5B,['eEVT'],NTN4,"['eEVT', 'iEVT', 'GC']",(M+F)-F
579,UNC5B_NTN4,NTN4,"['eEVT', 'iEVT', 'GC']",UNC5B,"['eEVT', 'dM1', 'dM2', 'dS3', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
580,UNC5D_NTN4,UNC5D,"['eEVT', 'GC']",NTN4,"['eEVT', 'iEVT', 'GC']",(M+F)-F
581,UNC5D_NTN4,NTN4,"['eEVT', 'iEVT', 'GC']",UNC5D,"['eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
582,VASN_JAG2,VASN,"['VCT_CCC', 'eEVT', 'iEVT']",JAG2,"['eEVT', 'iEVT', 'dNK1', 'dNK2', 'Endo_M']",(M+F)-(M+F)
583,VASN_JAG2,JAG2,"['eEVT', 'iEVT']",VASN,"['VCT_CCC', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F)
584,VEGFA_FLT1,VEGFA,"['VCT_CCC', 'EVT_2', 'iEVT']",FLT1,"['EVT_2', 'iEVT', 'GC']",(M+F)-F
585,VEGFA_FLT1,FLT1,"['EVT_2', 'iEVT', 'GC']",VEGFA,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dS3', 'dS2', 'uSMC']",F-(M+F)
586,WNT11_SFRP1,WNT11,"['VCT_CCC', 'eEVT']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
587,WNT11_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT11,"['VCT_CCC', 'eEVT', 'dNK1', 'dS3', 'dS2']",F-(M+F)
588,WNT2_SFRP1,WNT2,['GC'],SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
589,WNT2_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT2,"['GC', 'dS2', 'dS1']",F-(M+F)
590,WNT3A_SFRP1,WNT3A,['eEVT'],SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
591,WNT3A_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT3A,"['eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
592,WNT3_SFRP1,WNT3,"['VCT_CCC', 'EVT_2', 'iEVT']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
593,WNT3_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT3,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2']",F-(M+F)
594,WNT4_SFRP1,WNT4,"['VCT_CCC', 'EVT_2', 'iEVT']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
595,WNT4_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT4,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2']",F-(M+F)
596,WNT5A_ROR1,WNT5A,"['EVT_2', 'eEVT', 'iEVT']",ROR1,"['eEVT', 'GC']",(M+F)-F
597,WNT5A_ROR1,ROR1,"['eEVT', 'GC']",WNT5A,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2']",F-(M+F)
598,WNT5A_SFRP1,WNT5A,"['EVT_2', 'eEVT', 'iEVT']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
599,WNT5A_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT5A,"['EVT_2', 'eEVT', 'iEVT', 'dS3', 'dS2']",F-(M+F)
600,WNT7A_FRZB,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",FRZB,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F)
601,WNT7A_FRZB,FRZB,"['VCT_CCC', 'EVT_2', 'iEVT']",WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
602,WNT7A_SFRP1,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",SFRP1,"['EVT_2', 'eEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
603,WNT7A_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F)
604,WNT7A_SFRP4,WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",SFRP4,"['eEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
605,WNT7A_SFRP4,SFRP4,['eEVT'],WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F
606,WNT9A_SFRP1,WNT9A,"['VCT_CCC', 'EVT_2', 'iEVT']",SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F
607,WNT9A_SFRP1,SFRP1,"['EVT_2', 'eEVT', 'GC']",WNT9A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F)
608,XCR1_XCL1,XCR1,"['eEVT', 'iEVT']",XCL1,"['eEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F)
609,XCR1_XCL1,XCL1,['eEVT'],XCR1,"['eEVT', 'iEVT']",(M+F)-F
610,XCR1_XCL2,XCR1,"['eEVT', 'iEVT']",XCL2,"['GC', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F)
611,XCR1_XCL2,XCL2,['GC'],XCR1,"['eEVT', 'iEVT', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F)
