,interacting_pair,partner_in_troph,partner_in_troph_expr_where,partner_other,partner_other_expr_where,direction_of_interaction,comments,taking_or_not,taking_as(doesnt_matter_so_much),extra_comments
9,ACKR2_CCL3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",ACKR2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2']",(M+F)-(M+F),nan,yes,eEVT_branch_and_EVT_2_dS23,
18,ADORA1_ENTPD1,ADORA1,['eEVT'],ENTPD1,"['eEVT', 'iEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_eEVT_dNK1_dM_Endo_M_uSMC,
25,AGRN_NCAM1,NCAM1,['eEVT'],AGRN,"['EVT_2', 'eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_eEVT_iEVT_dS3_dS2_Endo_M,
47,BTC_ERBB4,ERBB4,['eEVT'],BTC,"['VCT_CCC', 'iEVT']",F-F,nan,no,,BTC % too low
49,BTN3A1_CSF1R,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",BTN3A1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'Endo_M']",F-(M+F),Jarrods_inter,yes,EVT_1_EVT_2_eEVT_and_dNK,
55,CCL3L1_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3L1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dNK3', 'dM1', 'dM2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK_dM,
58,CCL3_CCR1,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR1,"['EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,VCT_CCC_EVT_1_EVT_2_eEVT_and_dNK_dM,
59,CCL3_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,dNK_dM_and_EVT_1_EVT_2_eEVT,
60,CCL3_CCR3,CCL3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",CCR3,"['eEVT', 'GC', 'dNK1', 'dM1', 'dM2', 'Endo_M', 'uSMC']",F-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
63,CCL5_CCR1,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL5,"['VCT_CCC', 'eEVT', 'dNK1', 'dNK2', 'dNK3']",(M+F)-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK,
66,CCR1_CCL14,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL14,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_Endo_M,
68,CCR1_CCL26,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL26,"['iEVT', 'dS3', 'dS2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dS3_dS2,
70,CCR1_CCL7,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL7,"['EVT_1', 'iEVT', 'dM1']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dM1,
72,CCR1_CCL8,CCR1,"['EVT_1', 'EVT_2', 'eEVT']",CCL8,"['EVT_1', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS3', 'dS2']",F-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dM_dS3_dS2,
86,CD226_NECTIN2,CD226,['eEVT'],NECTIN2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",(M+F)-F,nan,no,,
95,CD46_JAG1,JAG1,['eEVT'],CD46,"['eEVT', 'iEVT', 'GC', 'dS3', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M_dS3_dS2,
99,CD55_ADGRE2,ADGRE2,"['EVT_2', 'eEVT']",CD55,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),Jarrods_inter,yes,eEVT_and_EVT_2,
119,CEACAM1_CD209,CD209,['eEVT'],CEACAM1,"['VCT_CCC', 'iEVT']",(M+F)-F,nan,no,,
128,CSF1R_CSF1,CSF1R,"['EVT_1', 'EVT_2', 'eEVT']",CSF1,"['GC', 'dNK1', 'dNK2']",(M+F)-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_dNK1_dNK2,
133,CXCL11_ACKR3,ACKR3,['eEVT'],CXCL11,"['EVT_2', 'iEVT', 'dM1']",F-(M+F),nan,yes,eEVT_and_dM1,
136,CXCL12_CXCR4,CXCL12,['eEVT'],CXCR4,"['iEVT', 'GC', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,eEVT_and_dNK23_dM,
155,DPP4_CXCL12,CXCL12,['eEVT'],DPP4,"['VCT_CCC', 'EVT_1']",(M+F)-F,nan,no,,
158,DSC2_DSG2,DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",DSG2,"['eEVT', 'dM2', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
159,DSC2_DSG2,DSG2,['eEVT'],DSC2,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT', 'dM1', 'dM2', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_dM_EVT_2_eEVT,
162,DSG2_DSC3,DSG2,['eEVT'],DSC3,"['VCT_CCC', 'dM2', 'Endo_M', 'uSMC']",F-(M+F),nan,no,,DSC3 % too low
165,EFNA1_EPHA1,EPHA1,['eEVT'],EFNA1,"['EVT_1', 'GC', 'dS2', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
192,EPHA1_EFNA3,EPHA1,['eEVT'],EFNA3,"['EVT_1', 'EVT_2', 'dNK1', 'dM1', 'Endo_M']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M,
194,EPHA1_EFNA4,EPHA1,['eEVT'],EFNA4,"['EVT_1', 'EVT_2', 'dM1', 'dS3', 'dS2', 'Endo_M', 'dS1']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_dS,
196,EPHA1_EFNA5,EPHA1,['eEVT'],EFNA5,"['VCT_CCC', 'GC', 'dNK1', 'dNK2', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F),nan,yes,eEVT_and_dNK1_dNK2_dS3_dS2,
230,ERBB4_HBEGF,ERBB4,['eEVT'],HBEGF,"['VCT_CCC', 'EVT_1', 'EVT_2', 'dM1', 'dM2', 'Endo_M']",F-(M+F),nan,yes,eEVT_and_dM,
232,ERBB4_NRG4,ERBB4,['eEVT'],NRG4,"['GC', 'dNK1', 'dS1', 'uSMC']",F-(M+F),nan,no,,
237,EREG_ERBB4,ERBB4,['eEVT'],EREG,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT']",F-F,nan,no,,
248,FGF1_FGFR1,FGF1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M_dS2,
250,FGF1_FGFR2,FGF1,['eEVT'],FGFR2,"['VCT_CCC', 'uSMC']",F-(M+F),nan,no,,
252,FGF1_FGFR3,FGF1,['eEVT'],FGFR3,"['EVT_1', 'EVT_2', 'eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
253,FGF1_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF1,"['eEVT', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,EVT_2_eEVT_and_eEVT,
257,FGF2_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",FGF2,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,EVT_2_eEVT_and_dS3_dS2_Endo_M,
259,FGFR1_NCAM1,NCAM1,['eEVT'],FGFR1,"['EVT_2', 'iEVT', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_Endo_M_dS2,
264,FLT4_VEGFC,FLT4,['eEVT'],VEGFC,"['VCT_CCC', 'EVT_2', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_Endo_M,
278,GH2_GHR,GH2,['eEVT'],GHR,"['VCT_CCC', 'GC', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,yes,eEVT_and_dS2_Endo_M,
291,HLA-E_KLRC1,KLRC1,['eEVT'],HLA-E,"['EVT_1', 'EVT_2', 'iEVT', 'GC', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dS3', 'Endo_M']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_dNK_dM_Endo_M_dS3,
297,HLA-F_LILRB1,LILRB1,['eEVT'],HLA-F,"['eEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT_dNK_dM1,
299,HLA-F_LILRB2,LILRB2,['eEVT'],HLA-F,"['eEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT_dNK_dM1,
303,HLA-G_LILRB1,LILRB1,['eEVT'],HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_EVT_2,
305,HLA-G_LILRB2,LILRB2,['eEVT'],HLA-G,"['EVT_1', 'EVT_2', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_EVT_2,
307,ICAM3_CD209,CD209,['eEVT'],ICAM3,"['VCT_CCC', 'EVT_1', 'eEVT']",(M+F)-F,nan,no,,
311,IFNGR1_C1QR1,CD93,['eEVT'],IFNGR1,"['eEVT', 'GC']",(M+F)-F,nan,no,,same as below
313,IFNGR1_CD93,CD93,['eEVT'],IFNGR1,"['eEVT', 'GC']",(M+F)-F,Jarrods_inter,yes,eEVT_and_eEVT,
323,IL7R_FGFR3,FGFR3,"['EVT_1', 'EVT_2', 'eEVT']",IL7R,"['EVT_2', 'iEVT', 'dNK2', 'dNK3', 'dM1', 'dM2']",F-(M+F),Jarrods_inter,yes,EVT_1_EVT_2_eEVT_and_dNK23_dM12,
324,JAG1_NOTCH2,JAG1,['eEVT'],NOTCH2,"['eEVT', 'iEVT', 'GC', 'dM1', 'dM2', 'dS1', 'uSMC']",(M+F)-(M+F),CellSign_iEVT_and_EVT_2_NOTCH2,yes,eEVT_and_eEVT_iEVT_dM,
326,JAG1_NOTCH3,JAG1,['eEVT'],NOTCH3,"['VCT_CCC', 'eEVT', 'dS3', 'dS2', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),CellSign_VCT_CCC_NOTCH3,yes,eEVT_and_dS3_dS2,
328,JAG1_NOTCH4,JAG1,['eEVT'],NOTCH4,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",F-(M+F),nan,yes,eEVT_and_Endo_M,
330,JAG1_VASN,JAG1,['eEVT'],VASN,"['VCT_CCC', 'eEVT', 'iEVT', 'dS3', 'dS2', 'dS1']",(M+F)-(M+F),Jarrods_inter,yes,eEVT_and_eEVT_dS3_dS2,
343,LDLR_KIT,KIT,['eEVT'],LDLR,"['EVT_2', 'iEVT', 'GC']",(M+F)-F,Jarrods_inter,yes,eEVT_and_EVT_2_dS3_dS2_Endo_M,
346,LEP_LEPR,LEP,"['EVT_2', 'eEVT']",LEPR,"['eEVT', 'iEVT', 'Endo_M', 'uSMC']",(M+F)-(M+F),nan,yes,eEVT_and_eEVT_Endo_M,
349,LGALS3_MERTK,MERTK,"['EVT_2', 'eEVT']",LGALS3,"['VCT_CCC', 'EVT_1', 'iEVT']",(M+F)-F,nan,no,,
369,LTA_TNFRSF1B,TNFRSF1B,['eEVT'],LTA,"['VCT_CCC', 'iEVT', 'dNK1', 'dNK2', 'dNK3']",F-(M+F),nan,yes,eEVT_and_dNK,
378,NCAM1_CNTNAP1,NCAM1,['eEVT'],CNTNAP1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F),Jarrods_inter,yes,eEVT_and_dS3_dS2,
380,NCAM1_CNTP1,NCAM1,['eEVT'],CNTNAP1,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS3', 'dS2', 'dS1', 'uSMC']",F-(M+F),nan,no,,same as above
386,NGFR_BDNF,NGFR,['eEVT'],BDNF,"['VCT_CCC', 'EVT_2', 'iEVT', 'Endo_M', 'uSMC']",F-(M+F),nan,no,,
388,NGFR_CD80,NGFR,['eEVT'],CD80,"['VCT_CCC', 'iEVT', 'dM1', 'dM2']",F-(M+F),Jarrods_inter,yes,eEVT_and_dM,
390,NGFR_NTF3,NGFR,['eEVT'],NTF3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'iEVT', 'dS2', 'Endo_M', 'dS1', 'uSMC']",F-(M+F),nan,no,,
393,NGF_NGFR,NGFR,['eEVT'],NGF,"['VCT_CCC', 'Endo_M', 'dS1', 'uSMC']",(M+F)-(M+F),nan,no,,
401,NOTCH1_JAG1,JAG1,['eEVT'],NOTCH1,"['VCT_CCC', 'dNK3', 'dM2', 'Endo_M']",(M+F)-(M+F),CellSign_VCT_CCC_NOTCH1,yes,eEVT_and_Endo_M,
413,NRG3_ERBB4,ERBB4,['eEVT'],NRG3,"['EVT_2', 'eEVT', 'iEVT']",F-F,nan,yes,eEVT_and_eEVT,
425,NRP2_SEMA3F,SEMA3F,['eEVT'],NRP2,"['VCT_CCC', 'GC']",F-F,nan,yes,eEVT_and_dM_Endo_M,
461,POMC_OPRM1,OPRM1,['eEVT'],POMC,"['eEVT', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT,
472,PTPRC_CD22,PTPRC,['eEVT'],CD22,"['eEVT', 'iEVT']",(M+F)-F,nan,no,,
479,PTPRS_NTRK3,NTRK3,['eEVT'],PTPRS,"['eEVT', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT,
481,PVR_CD226,CD226,['eEVT'],PVR,"['EVT_2', 'iEVT']",(M+F)-F,nan,yes,eEVT_and_EVT_2,
507,SEMA3E_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA3E,"['eEVT', 'GC', 'dS2', 'Endo_M', 'uSMC']",F-(M+F),nan,no,,
509,SEMA4A_PLXND1,PLXND1,"['EVT_2', 'eEVT']",SEMA4A,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS2', 'Endo_M']",F-(M+F),nan,yes,eEVT_and_dM_Endo_M,
520,SFRP4_WNT2B,SFRP4,['eEVT'],WNT2B,"['iEVT', 'GC']",(M+F)-F,nan,no,,
522,SFRP4_WNT6,SFRP4,['eEVT'],WNT6,['VCT_CCC'],(M+F)-F,nan,no,,
531,SLIT2_ROBO2,ROBO2,['eEVT'],SLIT2,"['eEVT', 'iEVT', 'GC']",F-F,nan,yes,eEVT_and_eEVT,
537,TEK_ANGPT4,ANGPT4,"['EVT_1', 'EVT_2', 'eEVT']",TEK,"['EVT_1', 'EVT_2', 'iEVT', 'Endo_M']",(M+F)-(M+F),nan,yes,EVT_1_EVT_2_eEVT_and_EVT_1_EVT_2_Endo_M,
542,TGFB3_TGFBR3,TGFB3,['eEVT'],TGFBR3,"['eEVT', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT,
548,TNFRSF10A_TNFSF10,TNFRSF10A,['eEVT'],TNFSF10,"['iEVT', 'GC']",(M+F)-F,nan,no,,
567,TNF_TNFRSF1B,TNFRSF1B,['eEVT'],TNF,"['VCT_CCC', 'EVT_2', 'iEVT', 'dNK1', 'dNK2', 'dNK3', 'dM1', 'dM2']",(M+F)-(M+F),nan,yes,eEVT_and_EVT_2_dNK_dM,
576,TYRO3_GAS6,TYRO3,"['VCT_CCC', 'EVT_1', 'EVT_2', 'eEVT']",GAS6,"['VCT_CCC', 'EVT_2', 'iEVT', 'dM1', 'dM2', 'dS1', 'uSMC']",F-(M+F),nan,yes,eEVT_branch_and_VCT_CCC_EVT_1_EVT_2_dM,
578,UNC5B_NTN4,UNC5B,['eEVT'],NTN4,"['eEVT', 'iEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_eEVT,
590,WNT3A_SFRP1,WNT3A,['eEVT'],SFRP1,"['EVT_2', 'eEVT', 'GC']",(M+F)-F,nan,yes,eEVT_and_EVT_2_eEVT,
605,WNT7A_SFRP4,SFRP4,['eEVT'],WNT7A,"['VCT_CCC', 'EVT_1', 'EVT_2']",(M+F)-F,nan,yes,eEVT_and_EVT_2,
609,XCR1_XCL1,XCL1,['eEVT'],XCR1,"['eEVT', 'iEVT']",(M+F)-F,nan,yes,eEVT_and_eEVT,